Substation ID,Substation Name,Nominal Voltage, Transformer Capacity,Firm Capacity,Maximum Demand (MVA),Demand Classification,Substation Class
9612,Flatworth Central,11,32,32,16.751,GREEN,Primary
9613,Howdon,11,18.75,24,7.545,GREEN,Primary
9617,Willington,11,18.75,24,12.85,GREEN,Primary
9608,Billy Mill,11,18.75,24,17.111,GREEN,Primary
9615,Monkseaton,11,18.75,24,17.119,GREEN,Primary
9616,Tynemouth Central,11,18.75,24,15.756,GREEN,Primary
9693,Garwood Street,11,32,32,17.576,GREEN,Primary
9697,Jarrow,11,18.75,24,6.801,GREEN,Primary
9698,Simonside,11,24,24,13.18,GREEN,Primary
9701,Westoe,11,24,24,10.816,GREEN,Primary
9739-20,Annfield 66/20kV,20,25,28,21,GREEN,Primary
2707936,Consett,20,40,40,22.965,GREEN,Primary
9749,Tanfield,11,32,32,13.41,GREEN,Primary
2841083,Newburn Haugh,11,30,38.1,6.607,GREEN,BSP
9621-11,Blucher 33/11kV,11,24,24,14.88,GREEN,Primary
9630,Kenton,11,24,24,15.85,GREEN,Primary
2805930,Newcastle Airport,11,24,24,12.002,GREEN,Primary
9636,Westerhope,11,18.75,24,11.689,GREEN,Primary
9626,Corporation Street,11,18.75,24,15.2,GREEN,Primary
9627,Educational Precinct,11,18.75,22.8,16.269,GREEN,Primary
9676,Gateshead Central,11,18.75,22.1,13.912,GREEN,Primary
9633,Pilgrim,11,32,32,19.161,GREEN,Primary
9634,University,11,32,32,21.83,GREEN,Primary
9672,Bensham,11,32,32,21.479,GREEN,Primary
9625,Benwell,11,40,29,18.11,GREEN,Primary
9674,Blaydon Burn,11,18.75,24,11,GREEN,Primary
9913,Close,11,32,32,25.237,GREEN,Primary
9671-20,Dunston 66/20kV,20,30,28,14.905,GREEN,Primary
9706,Hexham,20,37.5,36,21.903,GREEN,Primary
9709,West Wylam,20,30,30,18.962,GREEN,Primary
9716,Harraton,11,30,36,19.592,GREEN,BSP
9673-20,Birtley Grove 66/20kV,20,30,28,9.59,RED,Primary
9679,Team Valley,20,42,41,31.365,RED,Primary
9705,Spadeadam 20kV,20,15,12,0,GREEN,BSP
2868348,Fourstones 20kV,20,40,NGET,15.68,GREEN,BSP
9817,Aycliffe Industrial,11,24,19,0.45,GREEN,Primary
9820,Darlington West,11,18.75,24,13.691,GREEN,Primary
9823,Heighington,11,32,29,14.099,GREEN,Primary
9824,Newton Aycliffe South,11,18.75,23,14.86,GREEN,Primary
9825,Rise Carr,6,18.75,23,10.323,GREEN,Primary
3357866-11,Norton 132/11kV,11,40,38.1,30.8,GREEN,BSP
9692,Boldon Downhill,20,19,25.3,10.68,GREEN,Primary
7377944,Breamish Street,11,30,18,10.539,GREEN,Primary
9718,Carley Hill,11,18.75,24,16.991,GREEN,Primary
9675,Carr Hill,11,18.75,22,17.889,GREEN,Primary
2889655,Gateshead East,11,32,34.13,9.32,GREEN,Primary
9677,Harlow Green,11,24,18,16.08,AMBER,Primary
9694,Hebburn,6,10,12,3.813,GREEN,Primary
9695,Hebburn West,11,24,24,2.806,GREEN,Primary
9696,Hedworth,11,32,32,10.899,GREEN,Primary
9720,High Barmston,11,18.75,24,23.333,RED,Primary
9725,Sunderland T1 T2,11,24,24,17.79,RED,Primary
9699,Temple Park,11,18.75,24,15.688,GREEN,Primary
9727,Usworth,11,24,24,15.815,GREEN,Primary
9635,Walker,11,20,24,15.213,GREEN,Primary
9700,Wardley,6,15,19,8.16,GREEN,Primary
9729,West Southwick,11,32,32,10.9,GREEN,Primary
9784,Billingham Marsh House,11,24,24,14.622,GREEN,Primary
9763,Faraday Street,11,18.75,22,18.867,GREEN,Primary
9792,Malleable,11,32,32,17.162,GREEN,Primary
9780-1,North Tees T1 T2,11,30,34,16.53,GREEN,Primary
9795,Tees Industrial T1 T2,11,18.75,20,13.657,AMBER,Primary
9778,Greatham,11,30,35,21.918,GREEN,BSP
9761,Carlin How T3 T4,11,24,24,13.75,GREEN,Primary
9764,Grangetown,11,24,24,17.425,GREEN,Primary
9765,Guisborough T1 T2,11,24,24,16.266,GREEN,Primary
9769,Prissick,11,18.75,22.8,20.644,GREEN,Primary
9770,Redcar,11,45,38.1,27.451,GREEN,Primary
9773,Spencerbeck,11,40,38.11,20.711,GREEN,Primary
9839,Poppleton,33,120,120,37.553,GREEN,BSP
9690,South Shields,33,100,130,47.91,GREEN,BSP
9717-33,Offerton,33,100,114,37.805,GREEN,BSP
2810936,Knaresborough,132,240,240,151.12,GREEN,GSP
3357866-132,Norton,132,240,864,364.93,GREEN,GSP
9926,Saltholme,132,240,288,78.41,GREEN,GSP
9912,Stella North,132,120,720,186.36,GREEN,GSP
301538,Stella South,132,240,720,251.61,GREEN,GSP
9811-132,Spennymoor GSP,132,240,576,197.63,GREEN,GSP
9929,Osbaldwick,132,240,576,261.37,GREEN,GSP
9915-132,Blyth 132kV,132,240,288,23.32,GREEN,GSP
7494777,Tynemouth,132,240,576,152.22,GREEN,GSP
9785-33,Bowesfield,33,90,108,88.018,GREEN,BSP
9819,Darlington North,33,90,109,62.748,GREEN,BSP
9875,Leeming Bar,33,90,141,115.779,GREEN,BSP
9605,Chirton Grange,33,60,72,48,GREEN,BSP
9621-33,Blucher,33,90,114,87.213,GREEN,BSP
9897-33,Wormald Green 132/33kV,33,60,72,48.139,GREEN,BSP
9838-33,Melrosegate 132/33kV,33,90,180,119.212,GREEN,BSP
9620,Barrack Road,33,120,114,75.096,GREEN,BSP
9928-33,Darlington Central,33,60,72,43.8,GREEN,BSP
9858,Scarborough Grid,33,120,100,76.27,GREEN,BSP
9910,Flatworth,33,60,72,41.904,GREEN,BSP
9623-33,Gosforth,33,90,108,93.095,GREEN,BSP
9893-33,Husthwaite,33,45,54,27.336,GREEN,BSP
9891-33,Harrogate 132/33kV,33,60,120,68.794,GREEN,BSP
9739-66,Annfield,66,75,90.8,57.78,GREEN,BSP
2594836,Ravensworth,66,75,90,85.151,RED,BSP
9670,Coalburns,66,75,91.3,63.306,GREEN,BSP
9810-66,Potter House 132/66kV,66,120,86.25,75.838,GREEN,BSP
9812-66,Toronto,66,90,108,92.059,GREEN,BSP
9811-66,Spennymoor 132/66kV,66,75,188,80.555,GREEN,BSP
9835,Malton Grid,66,75,82,69.507,GREEN,BSP
9645-66,Linton,66,60,72,56.385,GREEN,BSP
9671-66,Dunston,66,150,195,88.976,GREEN,BSP
9782,Seal Sands,66,90,112,35.39,GREEN,BSP
9780-66,North Tees,66,150,150.6,105.18,GREEN,BSP
9787-66,Hartmoor,66,120,120,88.54,GREEN,BSP
9915-66,Blyth 66kV,66,120,309,127.209,GREEN,BSP
9691,West Boldon,66,120,388,212.756,GREEN,BSP
9759,Lackenby,66,120,306,151.151,GREEN,BSP
9918,Hawthorn Pit Grid,66,180,234,90.4,GREEN,BSP
9610-2,Cramlington T2 T4,11,19,24,13.793,GREEN,Primary
9671-11,Dunston 66/11kV,11,24,24,15.458,GREEN,Primary
9673-11,Birtley Grove 66/11kV,11,32,30,14.171,RED,Primary
9780-2,North Tees T3 T4,11,30,36,18.59,GREEN,Primary
9785-66-11,Bowesfield 66/11kV,11,32,32,14.21,GREEN,Primary
9927-6,Darlington 132/6kV,6,30,12,3.536,GREEN,BSP
9866-2,Whitby T2,11,24,19.1,5.75,GREEN,Primary
9867-2,Whitby West T2,11,24,24,5.77,GREEN,Primary
