Primary Substation,Voltage (kV),BSP Group,BCA Group (GSP),Easting,Northing,Firm Capacity (MVA),Demand Headroom (MW)
SQUIRES GATE,6.6,BLACKPOOL,PENWORTHAM ,332037,432063,4.6,6.6
ST ANNES,6.6,LYTHAM,PENWORTHAM ,331716,429849,7.2,0
ST MARYS,6.6,GREENHILL,WHITEGATE,392582,405316,7.2,15.1
ST MARYS ST,6.6,RIBBLE,PENWORTHAM ,354932,429640,4.6,7.2
ST THOMAS RD,6.6,LYTHAM,PENWORTHAM ,332713,428643,4.6,0
STAINBURN,11,STAINBURN & SIDDICK,HARKER,302535,529330,12,8.3
STANDISH,11,WRIGHTINGTON,PENWORTHAM ,356139,410059,12,5.7
STRANGEWAYS,6.6,FREDERICK RD,KEARSLEY,383780,399743,4.6,0
STRAWBERRY BANK,6.6,HUNCOAT,PADIHAM,376338,429396,7.2,6.1
STUART ST,6.6,STUART ST,STALYBRIDGE,387190,398835,6.9,8.6
STUBBINS,11,ROSSENDALE,PADIHAM,379112,418005,7.6,10.7
SWINTON,11,AGECROFT,KEARSLEY,378367,401718,15.2,13.7
TAME VALLEY,6.6,HARTSHEAD-HEYROD,STALYBRIDGE,395148,398108,7.2,8.8
TARDY GATE,11,RIBBLE,PENWORTHAM ,353958,426066,7.6,7.6
TARLETON,11,WRIGHTINGTON,PENWORTHAM ,344741,422417,7.6,4.8
THE HEIGHT,6.6,AGECROFT,KEARSLEY,379792,400497,4.6,5.1
THORNTON,11,BISPHAM,PENWORTHAM ,334207,442111,12,9.8
TOWNLEY ST,11,CHADDERTON,WHITEGATE,387242,405960,7.6,3.9
TRAFFORD,6.6,STRETFORD,SOUTH MANCHESTER,380714,396551,7.2,7.4
TRAFFORD PARK NORTH,6.6,BARTON,CARRINGTON,378738,397694,7.2,6.2
TRIMPELL,11,-,HEYSHAM,341861,458979,12,19.7
TRINITY,6.6,FREDERICK RD,KEARSLEY,382649,398230,7.2,0
TULKETH,6.6,RIBBLE,PENWORTHAM ,352393,431036,4.6,6.8
ULVERSTON,11,ULVERSTON,HARKER,327495,477808,12,5.1
UNION RD,6.6,BOLTON,KEARSLEY,372174,410598,7.2,6.2
UPHOLLAND,11,ORRELL,KIRKBY,352531,404369,12,3.7
URMSTON,6.6,STRETFORD,SOUTH MANCHESTER,377117,395709,4.6,10.5
VICTORIA PARK,6.6,LONGSIGHT,BREDBURY,385373,395948,7.2,4
WARBRECK,6.6,BISPHAM,PENWORTHAM ,331775,438420,7.2,7.4
WARDLEWORTH,6.6,BELFIELD,ROCHDALE,390339,414050,7.2,7
