Primary Substation,Voltage (kV),BSP Group,BCA Group (GSP),Easting,Northing,Firm Capacity (MVA),Demand Headroom (MW)
HINDLEY GREEN,11,ATHERTON,KEARSLEY,363389,403254,12,7.4
HOLLINWOOD,6.6,CHADDERTON,WHITEGATE,390287,402592,7.2,13.5
HOLME RD,11,RIBBLE,PENWORTHAM ,352311,429141,7.6,7
HOLT ST,11,BURY,KEARSLEY,378620,416362,12,4
HURST,6.6,HARTSHEAD-HEYROD,STALYBRIDGE,394658,400360,7.2,6.2
HUTTON END,11,PENRITH & SHAP,HUTTON,345810,538827,12,6
HYDE,6.6,HYDE,STALYBRIDGE,395215,395126,7.2,6.8
HYNDBURN RD,6.6,HUNCOAT,PADIHAM,375688,428877,9.1,5.4
INDIA ST,6.6,LOWER DARWEN,ROCHDALE,369485,421865,4.6,2.1
INGLETON,11,KENDAL (PARKSIDE RD),HUTTON,368913,472337,12,1.7
IRLAM,6.6,CARRINGTON BSP,CARRINGTON,371680,393360,14.3,2.5
JAMES ST,11,CARLISLE,HARKER,340034,555418,12,7.4
KAY ST,6.6,HUNCOAT,PADIHAM,373863,427594,7.2,13.5
KENDAL,11,KENDAL (PARKSIDE RD),HUTTON,351915,491858,7.6,3.9
KESWICK,11,STAINBURN & SIDDICK,HARKER,327022,523784,7.6,2.7
KINGSWAY,11,BELFIELD,ROCHDALE,391636,411724,12,20.8
KINKRY HILL,11,-,HARKER,350800,575111,15.2,0.8
KIRKBY LONSDALE,11,KENDAL (PARKSIDE RD),HUTTON,359833,478813,7.6,2.2
KIRKBY MOOR,11,ULVERSTON,HARKER,326099,483011,23.8,2.2
KIRKBY STEPHEN,11,PENRITH & SHAP,HUTTON,376579,509136,15.2,8.2
KIRKBY THORE,11,PENRITH & SHAP,HUTTON,364439,526672,12,4.1
KIRKHALL LANE,11,ATHERTON,KEARSLEY,365510,401069,7.6,6.2
KITT GREEN,6.6,ORRELL,KIRKBY,354934,405497,4.6,4.6
KNOTT MILL,6.6,BLOOM ST,SOUTH MANCHESTER,383136,397725,9.1,4.3
LAMBERHEAD,6.6,ORRELL,KIRKBY,355516,404030,7.2,10.6
LANCASTER,11,LANCASTER,HEYSHAM,348644,463628,12,3.4
LANGLEY,11,CHADDERTON,WHITEGATE,386421,406330,7.6,8.7
LANGROYD RD,6.6,NELSON,PADIHAM,389077,440584,4.6,9.2
LEIGH,11,ATHERTON,KEARSLEY,365863,399907,15.2,2.7
LEVENSHULME,6.6,LONGSIGHT,BREDBURY,387494,394155,4.6,4.2
LEYLAND NATIONAL,11,STAINBURN & SIDDICK,HARKER,301973,525948,7.6,13.8
LITTLE HULTON,11,KEARSLEY LOCAL,KEARSLEY,372024,403826,12,2.4
LITTLE SALKELD,11,PENRITH & SHAP,HUTTON,356221,537513,7.6,7.4
LITTLEBOROUGH,6.6,BELFIELD,ROCHDALE,393221,416124,4.6,3.2
LONGFORD BRIDGE,6.6,STRETFORD,SOUTH MANCHESTER,380056,395083,9.1,9.6
LONGRIDGE,6.6,PRESTON EAST,PENWORTHAM ,360581,437001,4.6,2.1
LONGSIGHT,6.6,LONGSIGHT,BREDBURY,385535,396037,4.6,6.5
LOSTOCK,11,WESTHOUGHTON,KEARSLEY,365293,409079,15.2,7.2
LOWER DARWEN,6.6,LOWER DARWEN,ROCHDALE,369695,424981,9.1,2.1
LYONS RD,6.6,BARTON,CARRINGTON,378253,397241,4.6,10.9
MANCHESTER UNIVERSITY,6.6,LONGSIGHT,BREDBURY,384762,396769,9.1,0.4
MARPLE,11,HAZEL GROVE,BREDBURY,395671,388643,12,0.1
MARTON,6.6,BLACKPOOL,PENWORTHAM ,333341,433485,4.6,11.2
MARYPORT,11,STAINBURN & SIDDICK,HARKER,303716,535313,12,9
MELLING,11,KENDAL (PARKSIDE RD),HUTTON,360144,471643,12,1.5
MERESIDE,6.6,PEEL,PENWORTHAM ,334431,434843,7.2,2.2
MIDDLETON JUNCTION,11,CHADDERTON,WHITEGATE,388606,405292,12,5.5
MIDWAY,11,EGREMONT,HARKER,304525,501993,12,9
MILNROW,6.6,CASTLETON,ROCHDALE,392351,413056,4.6,10.8
MINTSFEET,11,KENDAL (PARKSIDE RD),HUTTON,351827,494315,7.6,1.7
MONSALL,6.6,STUART ST,STALYBRIDGE,386332,401003,7.2,11.8
MONTON,6.6,BARTON,CARRINGTON,376321,399494,4.6,3.7
MOORSIDE,6.6,RIBBLE,PENWORTHAM ,349331,435746,7.2,3.8
MORTON PARK,11,CARLISLE,HARKER,337826,553939,23.8,8.3
MOSLEY RD,6.6,STRETFORD,SOUTH MANCHESTER,379058,396289,7.2,3.5
MOSS LANE,11,KEARSLEY LOCAL,KEARSLEY,380858,405856,7.6,1
MOSS NOOK PRIMARY,11,MOSS NOOK,SOUTH MANCHESTER,384084,385010,15.2,17.6
MOSS SIDE (Leyland),11,LEYLAND,PENWORTHAM ,352170,422970,7.6,3.4
MOSS SIDE (Longsight),6.6,LONGSIGHT,BREDBURY,384007,395893,4.6,0
MOSSLEY,11,HARTSHEAD-HEYROD,STALYBRIDGE,397437,401979,7.6,9.6
MOUNT ST,6.6,BARTON,CARRINGTON,376250,397574,4.6,10
MUSGRAVE RD,6.6,BOLTON,KEARSLEY,370045,409863,9.1,8.7
NELSON,6.6,NELSON,PADIHAM,386020,438507,4.6,6.6
