postcode,epc,hpr
B98 8LS,61.3,0.96
B97 5YS,67.0,0.99
B98 7YU,66.9,0.96
B97 5HZ,65.6,0.95
B97 5HU,66.4,0.98
B98 0QJ,61.3,0.89
B97 5BG,60.4,0.97
B98 0AX,64.6,0.91
B98 7HY,68.5,0.87
B97 5RY,70.0,0.95
B98 0BX,61.5,0.76
B97 6NY,69.6,0.9
B98 7XB,64.5,0.74
B97 5YT,64.1,1.0
B97 5EB,52.3,0.82
B98 9HY,68.6,0.91
B98 7RH,61.4,0.74
B98 0FZ,85.0,1.18
B98 7BS,51.8,0.59
B98 7WX,75.2,1.01
B98 9JA,64.6,0.92
B97 5AU,62.0,0.89
B97 6HU,59.6,0.75
B97 5SL,65.8,0.98
B98 7GF,82.5,1.17
B97 4JN,69.5,0.85
B98 7UW,83.8,1.18
B97 6SH,66.3,0.92
B98 7ND,67.8,0.84
B97 6HN,69.5,0.97
B97 5AG,59.9,0.84
B97 6SB,67.2,0.89
B98 0BS,62.0,0.93
B97 5SA,58.1,0.9
B98 7BZ,68.8,0.97
B98 0PJ,68.0,0.96
B97 5RN,58.1,0.91
B98 7EL,59.6,0.8
B96 6AF,58.9,0.8
B98 8QR,63.3,0.89
B98 0LY,69.0,0.95
B96 6BT,70.2,1.01
B98 0NG,63.5,0.87
B98 7DJ,70.7,0.93
B98 0BE,59.5,0.88
B98 0SF,64.2,0.89
B97 5JP,72.9,0.91
B97 6PQ,66.0,0.94
B97 4NS,64.0,1.02
B97 5NF,61.1,0.88
B97 6UJ,70.5,1.03
B98 9BN,64.0,1.0
B97 5NA,63.3,0.92
B98 0PZ,65.9,0.91
B97 5PQ,51.2,0.75
B98 7PP,80.6,1.12
B98 0PY,67.0,0.9
B98 0JQ,64.5,0.92
B97 4JH,49.1,0.56
B97 6EA,53.7,0.68
B98 0BJ,64.5,0.97
B98 7PY,69.8,0.97
B97 5LL,62.4,0.97
B98 7NF,64.2,0.81
B96 6AU,58.0,0.78
B97 4RJ,59.9,0.91
B97 5DA,51.0,0.6
B98 7UQ,71.0,0.93
B97 5NU,62.5,0.85
B98 7QR,62.7,0.89
B97 5RE,55.4,0.69
B98 7XJ,68.6,0.9
B98 7BL,48.9,0.51
B98 7XU,63.2,0.96
B98 8RG,61.2,0.95
B98 7FW,78.0,1.07
B98 0EG,65.1,0.89
B98 8RN,65.0,0.98
B97 6AL,83.2,1.11
B98 0SA,66.4,0.98
B98 7EY,58.5,0.75
B98 9JF,69.9,0.96
B96 6BY,60.2,0.9
B98 9LQ,68.8,0.95
B98 0TD,80.8,1.07
B97 5PY,65.7,0.95
B98 0JX,68.8,0.94
B98 8HT,51.4,0.72
B97 6AE,80.2,1.01
B97 6PA,72.8,0.94
B98 7TY,67.9,0.86
B98 0DA,82.4,1.17
B98 0LA,72.9,0.93
B98 7UG,68.5,0.9
B98 7RD,65.6,0.78
B98 7XY,68.9,0.95
B98 7BE,41.7,0.48
B98 8QP,65.7,0.89
B97 4BW,54.4,0.66
B98 7PX,66.1,0.9
B97 4LA,64.9,0.8
B97 6TX,69.2,1.01
B98 9JS,75.4,0.98
B98 7TE,66.2,1.01
B97 6NJ,66.0,0.91
B98 8PL,64.7,0.89
B97 4LR,79.1,1.02
B97 5WG,66.8,0.96
B98 7EQ,61.3,0.82
B98 9HS,65.8,0.91
B98 0LF,69.1,0.92
B97 5HD,57.1,0.72
B98 7JT,61.5,0.83
B98 7NB,67.1,0.85
B98 0PU,66.9,0.92
B98 0NQ,54.6,0.85
B97 6SF,64.8,0.94
B98 8JP,73.6,0.96
B97 4BE,80.1,1.0
B98 7BF,73.5,1.01
B98 0BQ,60.0,0.89
B98 8QQ,72.0,0.93
B98 8LX,49.8,0.65
B98 8BA,77.6,1.04
B98 7RE,67.0,0.93
B98 7HW,65.0,0.97
B98 7DQ,66.7,0.88
B96 6AT,63.6,0.94
B97 5XS,63.1,0.95
B98 0HL,64.4,0.88
B98 0AR,66.9,0.95
B97 4EF,44.4,0.48
B98 7QS,68.9,0.95
B98 7UZ,64.6,0.74
B97 4SN,63.9,0.72
B97 6SW,69.1,0.94
B98 8JR,69.4,0.91
B97 6LS,73.7,0.94
B97 5LP,67.5,0.98
B97 4NZ,57.4,0.78
B98 7HS,76.1,1.02
B98 7UX,68.6,0.92
B97 6LR,68.9,0.88
B98 7WD,83.6,1.18
B98 8EL,81.5,1.02
B98 7WA,84.0,1.18
B97 6AH,73.4,1.01
B98 8NR,68.6,0.95
B98 7QG,69.0,0.91
B98 9LW,69.6,0.98
B97 4LQ,70.6,1.01
B98 7QL,67.2,0.94
B98 8HX,61.5,0.94
B97 4LF,56.7,1.0
B98 9LF,65.8,0.93
B97 6NP,62.6,0.91
B98 9HX,64.9,0.88
B97 4PP,67.8,0.94
B97 4RL,60.5,0.83
B98 9LX,65.5,0.97
B98 8HG,69.4,0.93
B97 5AA,47.1,0.71
B98 9LG,67.4,0.93
B98 7YD,66.3,0.95
B98 7TL,67.4,0.91
B98 0BP,62.7,0.88
B98 0HJ,64.5,0.86
B97 5UN,62.9,0.97
B98 8NY,55.2,0.74
B97 5YB,64.4,0.96
B98 9JJ,67.7,0.93
B98 7YQ,65.3,0.97
B97 5ER,74.5,0.99
B98 0ET,66.7,0.86
B98 9LE,69.1,0.98
B97 5XY,67.8,0.98
B96 6AA,68.2,0.9
B97 4JG,41.1,0.54
B97 4SJ,67.6,0.92
B98 0QB,62.1,0.92
B98 9HU,67.2,0.92
B98 7YX,65.7,0.96
B97 4LX,74.0,0.97
B98 0QY,62.6,0.97
B98 7LZ,64.5,0.94
B97 4NA,59.6,0.88
B98 7TA,69.9,1.0
B96 6BD,52.6,0.76
B98 7RN,65.7,0.92
B98 0EU,66.2,0.89
B97 5NG,64.5,0.95
B98 9JQ,70.6,0.85
B97 5QW,56.0,0.86
B98 9JW,74.2,0.86
B98 9JH,67.5,0.92
B98 0PS,64.7,0.95
B98 9HZ,66.2,0.93
B97 4JL,54.4,0.68
B98 8EY,46.9,0.56
B97 4JB,50.1,0.59
B97 4FE,83.8,1.11
B98 7XZ,69.1,0.96
B98 8RS,62.2,0.97
B98 0PE,66.8,0.93
B98 7BG,49.9,0.59
B97 6TU,69.1,1.03
B98 7LU,66.2,0.83
B98 8AA,55.0,0.76
B98 7XL,67.1,0.86
B97 5WR,65.0,0.98
B98 7YP,66.9,0.95
B97 4NR,65.1,0.98
B98 7BH,68.5,0.73
B97 5RP,61.6,0.96
B97 5YF,61.7,0.95
B98 8QL,64.4,0.9
B98 7XP,63.6,0.85
B98 9HT,63.2,0.88
B97 5AN,65.5,0.9
B97 4EJ,46.5,0.71
B98 9AD,66.3,0.98
B97 4BB,80.9,1.02
B96 6BA,61.1,0.92
B97 4HZ,72.4,0.86
B97 5NB,65.5,0.96
B98 0BZ,59.6,0.78
B98 9JZ,66.6,0.93
B97 5WW,66.7,1.0
B97 6SX,67.0,1.01
B97 5NQ,59.6,0.88
B97 6JQ,69.9,1.0
B97 5LT,75.0,0.95
B97 5BZ,83.4,1.18
B97 6UD,68.6,0.98
B97 5UB,32.0,0.52
B98 0EW,62.6,0.88
B98 0LE,75.6,0.97
B98 0EZ,63.4,0.9
B98 7TG,60.5,0.98
B96 6BB,62.2,0.95
B97 4BT,55.6,0.65
B97 6JB,66.1,0.93
B97 6SD,66.2,0.91
B98 7RL,63.9,0.88
B97 5XN,61.1,0.94
B98 0QD,64.3,0.92
B97 5AX,63.3,0.92
B98 0ER,70.3,1.0
B98 8JE,66.6,0.81
B97 5SH,69.3,0.99
B98 7LT,65.1,0.85
B97 5WB,66.3,1.0
B97 4LW,76.0,0.99
B98 7ET,51.3,0.7
B98 8PD,55.6,0.78
B96 6EH,54.0,0.8
B98 0BG,58.8,0.85
B97 5RD,57.9,0.72
B97 6SR,68.8,1.01
B97 5YH,72.0,1.04
B97 5QL,47.2,0.61
B98 0NT,88.0,1.14
B98 9AF,64.5,0.96
B98 8JX,56.1,0.74
B97 4EE,52.9,0.63
B98 0TR,69.2,0.9
B97 6PJ,65.1,0.82
B98 0PD,68.8,0.94
B97 4AP,80.5,1.11
B97 4BN,39.2,0.55
B98 7SL,70.7,0.86
B98 0EE,60.8,0.87
B98 7SA,68.0,0.83
B97 5LN,64.0,0.97
B96 6HN,50.3,0.65
B97 5DR,57.4,0.86
B98 7GH,82.7,1.17
B98 8JH,66.8,0.86
B97 5AB,59.4,0.85
B97 5WQ,65.3,0.92
B98 7SZ,61.5,0.96
B97 6JZ,70.9,0.91
B97 5WP,73.9,1.01
B97 5XL,67.0,0.93
B98 7GA,83.0,1.17
B97 4JW,69.0,0.86
B98 7AY,45.3,0.52
B97 6JA,64.8,0.92
B97 5BN,53.1,0.9
B98 0QQ,64.4,0.93
B97 5PB,64.0,0.97
B97 5DE,62.5,0.9
B98 0JE,59.8,0.88
B96 6BW,54.6,0.8
B97 4SP,56.7,0.76
