outcode,epc,hpr,lat,long
GL54,59.8,0.84,51.8965086,-1.8457414
GL52,70.7,1.0,51.9190904,-2.0581561
GL3,68.5,0.98,51.8619393,-2.1760821
GL20,64.4,0.91,52.0022332,-2.132268
GL2,67.5,0.99,51.8431569,-2.2702834
GL19,52.8,0.84,51.9461577,-2.2909682
GL51,63.3,0.91,51.8990355,-2.110465
WR12,49.6,0.71,52.0414013,-1.8704376
WR11,47.2,0.82,52.0958405,-1.9290168
GL53,72.1,1.01,51.8795927,-2.0676025
GL56,39.3,0.58,51.9895485,-1.7034227
LE2,88.3,1.18,52.6073868,-1.1169519
WR8,52.5,0.62,52.074811,-2.2066668
