outcode,epc,hpr,lat,long
PO19,67.9,0.93,50.8382074,-0.7783183
PO20,64.4,0.93,50.7837114,-0.7846263
RH14,53.6,0.88,51.0330425,-0.4847114
PO10,66.0,0.93,50.8522374,-0.9293902
GU29,60.0,0.85,50.9846389,-0.7477247
PO18,61.1,0.91,50.8649547,-0.81514
GU31,48.9,0.82,50.9969882,-0.90349
GU33,48.0,0.82,51.0517463,-0.8903635
GU27,57.8,0.85,51.0813045,-0.7216203
GU28,53.4,0.8,50.9910457,-0.6327655
RH20,50.8,0.8,50.9374494,-0.4705572
GU30,48.0,0.82,51.0754992,-0.8042741
PO9,72.1,1.04,50.8634319,-0.9839667
GU8,45.0,0.72,51.1486935,-0.6446799
SO20,84.0,1.18,51.1166333,-1.5167063
BN18,35.2,0.51,50.8476816,-0.5840822
