outcode,epc,hpr,lat,long
PE30,65.2,0.91,52.7597146,0.4165056
PE14,54.5,0.89,52.6392767,0.2075469
PE38,63.1,0.94,52.5881901,0.3752984
PE31,57.6,0.89,52.8818331,0.5723975
IP26,53.1,0.89,52.5074578,0.5727044
PE36,60.8,0.89,52.9394294,0.5087246
PE33,58.3,0.91,52.6459805,0.4658335
PE34,54.3,0.89,52.7249832,0.3373637
PE32,54.4,0.9,52.7278429,0.6349892
PE13,64.5,0.95,52.6700673,0.1371284
NR21,54.2,0.88,52.8414338,0.8522567
NR23,55.2,0.77,52.9487974,0.8580662
PE35,42.2,0.66,52.8271575,0.509056
CB6,52.4,0.81,52.4046657,0.2216208
NR22,34.0,0.47,52.8944462,0.8651737
