outcode,epc,hpr,lat,long
B61,63.6,0.89,52.3464135,-2.068307
DY9,58.8,0.84,52.4332065,-2.122508
B45,63.7,0.89,52.3885168,-2.0090938
B60,65.0,0.92,52.3240959,-2.0491825
B97,75.2,1.07,52.2996987,-1.9545616
B38,72.1,1.03,52.3999018,-1.9347197
B48,61.1,0.87,52.3547623,-1.9470221
B90,59.2,0.82,52.3989824,-1.8260954
B47,63.2,0.88,52.3852897,-1.8800827
B62,57.0,0.85,52.4571593,-2.0337937
B63,69.0,0.98,52.4514517,-2.0699158
DY8,61.8,0.85,52.460812,-2.1557543
B32,68.6,0.99,52.4486238,-1.9945407
B98,65.1,0.94,52.3022428,-1.9130643
B14,48.4,0.64,52.4173564,-1.8898132
B31,52.8,0.7,52.4081108,-1.9733848
DY10,57.0,0.89,52.386159,-2.2238755
