outcode,epc,hpr,lat,long
SG5,65.7,0.88,51.9713173,-0.2810918
SG7,64.2,0.89,52.0045147,-0.1754105
SG3,65.4,0.9,51.8604038,-0.1822612
SG8,65.5,0.92,52.0643705,-0.0147945
SG4,63.9,0.88,51.9206087,-0.2595399
SG6,65.1,0.87,51.9790227,-0.2227304
SG1,73.1,1.02,51.913148,-0.1949772
LU2,57.9,0.86,51.8932427,-0.3944578
AL6,57.8,0.89,51.832147,-0.1998286
SG9,51.9,0.83,51.9507491,-0.0091601
AL4,64.0,0.93,51.7739838,-0.295024
SG23,51.0,0.99,nan,nan
SG16,83.8,1.17,52.0142001,-0.298799
SG2,57.2,0.83,51.8965414,-0.1640911
