OUTCODE,ONS
SE17,E09000028
BL0,E08000002
SM7,E09000029
W3,E09000009
KT6,E07000207
SO22,E07000094
UB2,E09000009
BN13,E07000229
IG8,E09000026
SO23,E07000094
B60,E07000234
CM8,E07000067
TA3,E07000246
RH8,E07000215
EX14,E07000040
GU17,E07000089
CO2,E07000071
TA4,E07000246
SW17,E09000032
IP9,E07000200
CT14,E07000108
CA5,E07000028
BR3,E09000006
CM19,E07000073
NW10,E09000005
NR11,E07000147
SE25,E09000008
KT19,E07000208
BR8,E07000111
GL3,E07000082
CA26,E07000029
OX10,E07000179
GU4,E07000209
SP9,E06000054
CH27,E08000015
OX7,E07000079
TQ1,E06000027
OX15,E07000177
NR16,E07000149
PL16,E07000047
IG1,E09000026
B93,E08000029
MK42,E06000055
GL10,E07000082
TA14,E07000189
SO21,E07000094
EX11,E07000040
LU2,E06000032
L10,E08000014
CO1,E07000071
LN2,E07000138
GL6,E07000082
N13,E09000010
IP18,E07000244
W4,E09000009
L38,E08000014
N2,E09000003
N8,E09000014
CT4,E07000105
FY8,E07000119
RM12,E09000016
CB11,E07000077
OX3,E07000178
BB12,E07000122
CA8,E07000028
GU23,E07000209
ME14,E07000110
SP11,E07000093
RG29,E07000089
BH19,E06000059
TQ6,E07000044
NR28,E07000147
NG22,E07000171
LU3,E06000032
CA19,E07000029
CO3,E07000071
NR8,E07000144
CA16,E07000030
AL3,E07000240
S44,E07000033
SE6,E09000023
KT18,E07000208
RM2,E09000016
N4,E09000019
GL7,E07000082
NE6,E08000021
PL21,E07000044
PR7,E07000118
DY8,E08000027
BA20,E07000189
GU10,E07000209
EX36,E07000043
SE14,E09000023
IP32,E07000245
BN25,E07000063
UB1,E09000009
NR10,E07000144
BA10,E07000189
WR11,E07000083
RM11,E09000016
ME15,E07000110
W2,E09000033
EX18,E07000042
RG2,E06000038
NG20,E07000171
RH19,E07000228
CA21,E07000029
ME5,E07000110
KT12,E07000207
KT8,E07000207
BN99,E07000229
DA4,E07000111
NP19,W06000022
PO15,E07000087
EX8,E07000040
CO14,E07000076
GU35,E07000085
LN6,E07000138
YO17,E07000167
BA2,E07000187
BB18,E07000122
GL52,E07000078
GU24,E07000217
EX7,E07000045
LE10,E07000220
TN25,E07000105
NR6,E07000148
BB5,E07000120
TQ2,E06000027
DA6,E09000004
CH48,E08000015
TN14,E07000111
RG40,E06000041
L29,E08000014
NR34,E07000149
CM24,E07000077
N3,E09000003
CA27,E07000029
SS5,E07000075
GL54,E07000079
SE3,E09000023
SS11,E07000070
SP10,E07000093
ST17,E07000197
SK17,E07000037
SE18,E09000011
L18,E08000012
PO13,E07000088
PL9,E07000044
SN25,E06000030
AL1,E07000240
CT16,E07000108
SG2,E07000243
DT4,E06000059
EX15,E07000040
DL3,E06000005
PO19,E07000225
CT12,E07000114
ME7,E07000110
DT6,E06000059
DA17,E09000004
ME8,E06000035
E3,E09000030
NR27,E07000147
CO11,E07000200
B97,E07000236
ME4,E06000035
BB11,E07000117
M50,E08000006
M26,E08000002
RH9,E07000215
SE15,E09000028
DH8,E06000057
TQ14,E07000045
CM6,E07000077
NR14,E07000149
GU18,E07000214
PE33,E07000143
CT3,E07000106
GU34,E07000085
ME13,E07000113
N10,E09000003
PL20,E07000047
NR33,E07000244
N6,E09000007
GU46,E07000089
SE9,E09000004
ME16,E07000110
GU8,E07000216
CT9,E07000114
SE23,E09000023
ME17,E07000110
NR9,E07000143
BN17,E07000224
DE11,E07000039
DD8,S12000041
RH2,E07000211
BN5,E07000227
SP2,E06000054
M24,E08000005
E10,E09000031
WF1,E08000036
BS16,E06000023
SO18,E06000045
BH15,E06000058
PE15,E07000010
KA11,S12000021
S36,E08000019
CH64,E06000050
BS3,E06000023
CF34,W06000013
BT37,N09000001
L25,E08000012
OX12,E07000180
BS31,E06000022
WA7,E06000006
BB9,E07000122
TN18,E07000116
TW5,E09000018
DY10,E07000239
CM16,E07000072
DY4,E08000028
SO40,E07000091
NE2,E08000021
NE66,E06000057
B14,E08000025
IP5,E07000244
WD5,E07000102
EX22,E07000046
NE23,E08000022
SO14,E06000045
G72,S12000029
LS11,E08000035
NN11,E06000062
SY7,E06000051
ST2,E06000021
HD6,E08000033
TR11,E06000052
DT11,E06000059
PE6,E07000141
HR4,E06000019
NE31,E08000023
HD9,E08000034
PE16,E07000010
WV16,E06000051
SK6,E08000007
OL7,E08000008
BH21,E06000059
NE5,E08000021
DT1,E06000059
B98,E07000236
IP12,E07000244
G52,S12000049
LE14,E07000133
CM4,E07000070
SN7,E07000180
S81,E08000018
BS34,E06000025
TR4,E06000052
EH3,S12000036
RG6,E06000038
N16,E09000012
CV2,E08000026
G43,S12000049
ST21,E07000197
CT5,E07000106
BT56,N09000004
HU7,E06000010
BT62,N09000002
G62,S12000045
KT2,E09000021
CT6,E07000106
S8,E08000019
ST3,E06000021
LS18,E08000035
S26,E08000018
HD8,E08000034
M20,E08000003
GL53,E07000078
TF1,E06000020
B29,E08000025
SL4,E06000040
UB8,E09000017
S60,E08000018
RG30,E06000038
BN18,E07000227
BT6,N09000003
LE7,E07000131
G21,S12000049
SK9,E06000049
SE22,E09000028
HG2,E07000165
GL50,E07000078
SY6,E06000051
DH7,E06000047
BN15,E07000223
EN6,E07000098
DD3,S12000042
NE15,E08000021
OX16,E07000177
TS16,E06000004
SL6,E06000040
B69,E08000028
LE4,E06000016
WS4,E08000030
DH1,E06000047
SK11,E06000049
DH9,E06000047
NN10,E06000061
DL5,E06000047
LN8,E07000142
DN12,E08000017
BS8,E06000024
EH22,S12000019
DN5,E08000017
SA33,W06000010
S6,E08000019
DY13,E07000238
CV47,E07000221
GU47,E06000036
LE2,E06000016
TR2,E06000052
SA4,W06000011
LE16,E07000131
BT45,N09000009
YO7,E07000164
BT71,N09000009
DN4,E08000017
TS4,E06000002
WR9,E07000238
BT9,N09000003
AB42,S12000034
TS15,E06000004
SW6,E09000013
LL16,W06000003
WC1V,E09000007
L39,E07000127
ST16,E07000197
NE32,E08000023
NG32,E07000141
BS9,E06000023
SO51,E07000093
HD1,E08000034
LS8,E08000035
CM99,E07000070
CM23,E07000242
CF44,W06000016
OX11,E07000179
NE34,E08000023
PL7,E06000026
G81,S12000039
NE30,E08000022
LL15,W06000004
PR3,E07000123
M30,E08000006
SO45,E07000091
LL55,W06000002
PE21,E07000136
CW1,E06000049
PR1,E07000123
EH32,S12000010
BT22,N09000011
TN21,E07000065
EH47,S12000040
OX13,E07000180
SA61,W06000009
G3,S12000049
SO50,E07000086
E1,E09000030
TN9,E07000115
DD2,S12000042
OL8,E08000004
NG7,E06000018
SN15,E06000054
TF3,E06000020
HP2,E07000096
TN4,E07000116
E11,E09000031
CF31,W06000013
BT23,N09000011
EH10,S12000036
L9,E08000012
SL8,E06000060
OX39,E07000179
BS35,E06000025
WV14,E08000027
CM14,E07000068
ML11,S12000029
SY13,E06000051
YO8,E07000169
CV5,E08000026
HP10,E06000060
LL53,W06000002
PL30,E06000052
M3,E08000003
BD23,E07000163
LE11,E07000130
LS12,E08000035
BN42,E07000223
NN17,E06000061
NG3,E06000018
UB3,E09000017
CO16,E07000076
L5,E08000012
LE8,E07000129
WA6,E06000050
EH9,S12000036
LS17,E08000035
PE31,E07000146
TN2,E07000116
BT29,N09000001
BS1,E06000023
BS15,E06000023
TS17,E06000004
DN36,E07000137
W1U,E09000033
LS21,E08000035
PE28,E07000011
HX3,E08000033
L19,E08000012
DY11,E07000239
DG2,S12000006
TW11,E09000027
NP23,W06000019
WR5,E07000237
SR4,E08000024
BT92,N09000006
PE35,E07000146
KY1,S12000047
LS6,E08000035
S66,E08000018
E17,E09000031
CF40,W06000016
BT30,N09000010
SY5,E06000051
LL40,W06000002
WR1,E07000237
WS3,E08000030
CW12,E06000049
BL2,E08000001
LL57,W06000002
DE56,E07000032
WV3,E08000031
HX1,E08000033
MK45,E06000056
IV2,S12000017
WR8,E07000235
NG15,E07000170
NG12,E07000176
EH15,S12000036
MK18,E06000060
SE19,E09000006
NP4,W06000020
TD15,E06000057
W1F,E09000033
WF15,E08000034
DN17,E06000013
DL13,E06000047
WR3,E07000237
NG13,E07000176
HP13,E06000060
KW14,S12000017
BA13,E06000054
NR32,E07000244
CV10,E07000219
NE24,E06000057
RG17,E06000037
TS26,E06000001
LE5,E06000016
OL16,E08000005
CR4,E09000024
RG20,E06000037
NN9,E06000061
SL1,E06000060
BT38,N09000008
KA13,S12000021
N1,E09000012
ST7,E06000049
BT44,N09000004
SY17,W06000023
PR2,E07000123
CT1,E07000106
DY12,E07000239
SO19,E06000045
AB31,S12000034
BH4,E06000058
PA34,S12000035
EH34,S12000010
DG7,S12000006
DL4,E06000005
M22,E08000003
EH48,S12000040
PL12,E06000052
ME10,E07000113
GL17,E07000080
AB21,S12000034
LA12,E07000031
SG12,E07000242
CF24,W06000015
NE61,E06000057
B33,E08000025
DY9,E07000234
ST10,E07000198
ST4,E06000021
PR5,E07000126
G53,S12000049
HP12,E06000060
NG6,E06000018
BT8,N09000007
SA18,W06000010
SN2,E06000030
SY2,E06000051
NE16,E08000037
RG8,E06000037
HU5,E06000010
LA23,E07000031
B2,E08000025
NG16,E07000172
SN11,E06000054
CW9,E06000050
SE1P,E09000028
M8,E08000003
HR2,E06000019
DT5,E06000059
DE72,E07000036
BT41,N09000001
TR12,E06000052
TS19,E06000004
CB23,E07000012
NG19,E07000174
HG3,E07000165
PE1,E06000031
BT28,N09000007
PE29,E07000011
KY12,S12000047
AB55,S12000020
PE13,E07000010
PO31,E06000046
M27,E08000006
S40,E07000034
NP20,W06000022
BT93,N09000006
CF83,W06000018
EN11,E07000095
BD20,E07000163
SK7,E08000007
BD16,E08000032
W1G,E09000033
NE28,E08000022
G23,S12000049
BS24,E06000024
SA70,W06000009
WF8,E08000036
CV31,E07000222
BS40,E06000022
TN6,E07000065
BH23,E06000058
YO11,E07000168
BT5,N09000003
CF82,W06000018
NE42,E06000057
BD4,E08000034
WV1,E08000031
SG19,E06000056
FK4,S12000014
NP22,W06000018
LE15,E06000017
BH5,E06000058
RM10,E09000002
AB43,S12000034
WA16,E06000049
SY20,W06000023
ME1,E06000035
AB10,S12000033
SE16,E09000028
BT79,N09000006
HS2,S12000013
TR18,E06000052
BS7,E06000023
SK10,E06000049
FK2,S12000014
NR18,E07000149
TW12,E09000027
GL1,E07000081
DN16,E06000013
W14,E09000020
SA5,W06000011
ME12,E07000113
CB6,E07000009
SP4,E06000054
B50,E07000221
BT48,N09000005
HD2,E08000034
OL12,E08000005
PL15,E06000052
WR14,E07000235
GL51,E07000078
NE3,E08000021
SS8,E07000069
BL1,E08000001
PE36,E07000146
RH16,E07000063
LL34,W06000003
SR2,E08000024
SA31,W06000010
BB10,E07000117
TW13,E09000018
CT11,E07000114
B38,E07000234
OX18,E07000181
DE7,E07000036
LE1,E06000016
HU17,E06000011
FK15,S12000048
NG5,E06000018
ST6,E06000021
NG4,E07000173
S18,E07000038
SS3,E06000033
EN9,E07000072
WF6,E08000036
