ONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000052,TR11,TR4,TR2,PL30,PL12,TR12,TR18,PL15,PL17,PL14,PL25,TR20,PL28,TR26,TR14,TR19,PL13,TR1,TR9,TR3,PL27,TR15,PL23,TR13,PL24,TR10,PL31,TR8,TR16,EX23,PL11,PL18,PL34,TR6,TR27,TR7,PL26,TR5,PL35,PL22,PL10,TR17,PL32,PL33,PL29
E07000029,CA25,CA23,CA20,LA18,CA22,CA28,CA26,CA19,CA21,CA27,LA20,LA19,CA24,CA18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000045,EX6,TQ12,TQ13,EX7,TQ14,TQ11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000209,GU1,GU3,KT24,GU12,GU5,GU2,GU4,GU23,GU10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000227,RH13,RH12,RH11,RH14,BN5,BN18,RH20,BN44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000018,TW8,TW3,TW5,TW13,TW7,TW4,TW14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000067,CB9,CM77,CO9,CM7,CO8,CM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000070,CM1,CM2,SS11,CM4,CM99,CM98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000040,EX5,EX9,EX12,EX10,EX13,EX14,EX11,EX8,EX15,EX24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000143,IP25,PE37,NR20,NR19,PE32,PE33,NR9,IP24,NR17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000171,DN10,DN22,NG22,NG20,DN11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000038,RG1,RG2,RG6,RG30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000010,EN4,EN1,N18,EN2,N21,EN3,N9,N13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000074,CM0,CM3,CM9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000108,CT15,CT13,CT14,CT16,CT17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000092,GU11,GU14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000148,NR1,NR4,NR2,NR3,NR5,NR6,NR99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000090,PO11,PO9,PO8,PO10,PO7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000008,CB2,CB3,CB4,CB1,CB5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000032,SW1P,SW15,SW11,SW18,SW1V,SW95,SW1X,SW1A,SW17,SW12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
