outcode,epc,hpr,lat,long
SW8,70.2,0.81,51.4765695,-0.1320148
SE1,73.9,0.88,51.4991997,-0.0916245
SE21,60.6,0.69,51.438989,-0.0887527
SW16,63.1,0.72,51.4212906,-0.1292383
SW4,65.5,0.73,51.4611107,-0.1364914
SE19,64.4,0.73,51.4179954,-0.0861287
SW2,64.5,0.71,51.4493013,-0.1198466
SE24,62.7,0.68,51.4563048,-0.1002302
SW9,68.9,0.79,51.4693401,-0.1138947
SE11,69.9,0.8,51.4898569,-0.1115597
SE27,63.4,0.72,51.4305427,-0.1023126
SE5,65.0,0.72,51.4738341,-0.0914963
SW12,63.1,0.69,51.4463283,-0.1491401
CR4,71.4,0.97,51.4043894,-0.1591591
MK42,87.0,1.18,52.1173913,-0.4724081
E3,70.3,1.03,51.527941,-0.0252696
E12,85.0,1.05,51.5507498,0.0529473
SE4,61.3,0.62,51.4610268,-0.0352253
SW7,71.0,0.6,51.4962781,-0.1770136
