outcode,epc,hpr,lat,long
CV34,68.6,0.95,52.2816351,-1.5783799
CV8,62.5,0.88,52.3519562,-1.5420194
CV31,65.7,0.88,52.2778388,-1.5246631
CV33,71.6,1.01,52.2554168,-1.4875182
CV32,62.9,0.83,52.2979862,-1.531491
CV35,61.0,0.9,52.2215666,-1.593202
B95,48.8,0.82,52.2859172,-1.7806898
B94,51.9,0.86,52.3495479,-1.793885
CV4,59.8,0.86,52.3972327,-1.5714648
B93,53.8,0.9,52.3804941,-1.7438511
CV3,57.6,0.81,52.3909775,-1.4781403
CV21,83.6,1.18,52.3768752,-1.25063
CV23,57.9,0.86,52.3683793,-1.2835273
