district,epc,hpr
HP6,67.4,0.9
SL2,65.0,0.87
HP12,68.8,0.92
SL0,65.3,0.84
HP5,66.6,0.88
HP11,72.6,0.96
HP17,72.1,1.0
HP7,64.8,0.85
HP22,73.9,1.03
SL1,69.2,0.92
HP21,69.4,0.94
HP14,65.2,0.92
SL9,67.5,0.88
HP15,67.4,0.91
HP13,68.7,0.91
LU7,66.9,0.94
HP18,69.0,0.99
MK18,70.2,0.99
HP10,69.5,0.94
SL6,63.6,0.83
HP8,66.6,0.9
HP19,70.7,0.98
SL7,67.8,0.91
RG9,50.0,0.8
MK17,61.0,0.91
SL8,67.5,0.9
HP27,67.7,0.92
HP20,67.5,0.9
HP9,68.6,0.91
HP16,63.1,0.87
LU6,60.4,0.9
UB9,70.4,0.91
HP23,54.9,0.86
OX27,58.6,0.92
MK3,84.0,1.12
SL4,58.8,0.78
SL3,60.7,0.78
WD3,60.0,0.89
NN13,62.0,0.92
HP4,51.9,0.86
OX39,53.0,0.88
OX9,60.0,0.74
OX33,46.0,0.98
MK19,51.6,0.97
NN12,41.0,0.69
