outcode,epc,hpr,lat,long
HP6,67.4,0.9,51.6783912,-0.5991444
SL2,65.0,0.87,51.5356977,-0.6058076
HP12,68.8,0.92,51.6259591,-0.7795608
SL0,65.3,0.84,51.5259965,-0.5171775
HP5,66.6,0.88,51.7128444,-0.6085614
HP11,72.6,0.96,51.6239518,-0.7453006
HP17,72.1,1.0,51.7768478,-0.8843057
HP7,64.8,0.85,51.6644833,-0.6102425
HP22,73.9,1.03,51.8076076,-0.7693074
SL1,69.2,0.92,51.5178471,-0.6222163
HP21,69.4,0.94,51.8052172,-0.8058581
HP14,65.2,0.92,51.6524063,-0.8387317
SL9,67.5,0.88,51.5978678,-0.5557695
HP15,67.4,0.91,51.6585214,-0.7117144
HP13,68.7,0.91,51.6344818,-0.7404825
LU7,66.9,0.94,51.9072379,-0.6629591
HP18,69.0,0.99,51.8202707,-0.9688388
MK18,70.2,0.99,51.978349,-0.9695075
HP10,69.5,0.94,51.6083649,-0.6974711
SL6,63.6,0.83,51.5239786,-0.7292167
HP8,66.6,0.9,51.6384149,-0.5700237
HP19,70.7,0.98,51.8236624,-0.8280878
SL7,67.8,0.91,51.5753276,-0.777869
RG9,50.0,0.8,51.5450342,-0.9260061
MK17,61.0,0.91,51.997579,-0.6993948
SL8,67.5,0.9,51.5787364,-0.7087112
HP27,67.7,0.92,51.7206955,-0.8325872
HP20,67.5,0.9,51.8200483,-0.8054056
HP9,68.6,0.91,51.6103131,-0.6407522
HP16,63.1,0.87,51.7022351,-0.7196191
LU6,60.4,0.9,51.8780425,-0.5377989
UB9,70.4,0.91,51.5862858,-0.4926586
HP23,54.9,0.86,51.7954966,-0.6612615
OX27,58.6,0.92,51.9363464,-1.1505518
MK3,84.0,1.12,51.9937256,-0.7517663
SL4,58.8,0.78,51.4752709,-0.6274221
SL3,60.7,0.78,51.4987413,-0.5516413
WD3,60.0,0.89,51.6466313,-0.4824803
NN13,62.0,0.92,52.0340435,-1.1480035
HP4,51.9,0.86,51.7678331,-0.5685998
OX39,53.0,0.88,51.701667,-0.9158158
OX9,60.0,0.74,51.7379966,-0.9839931
OX33,46.0,0.98,51.7583288,-1.1399624
MK19,51.6,0.97,52.0751348,-0.8552011
NN12,41.0,0.69,52.1265265,-0.9999332
