district,epc,hpr
NP19,65.9,0.88
NP18,64.0,0.91
NP20,64.9,0.85
CF3,72.1,1.04
NP10,69.7,0.97
NP26,57.4,0.88
SE16,80.0,1.04
NP44,59.0,0.94
