postcode,epc,hpr
TN8 5RE,71.2,0.98
TN13 2SL,59.3,0.86
BR8 7BH,68.9,0.9
TN13 2UZ,68.0,1.01
TN15 0DJ,64.6,0.92
BR8 8JG,58.3,0.76
BR8 8FF,85.1,1.16
BR8 7JJ,66.2,0.83
TN8 5NR,39.8,0.73
BR8 7SE,57.8,0.82
TN15 6BX,63.8,0.93
TN11 8BJ,23.0,0.54
TN15 0AP,44.5,0.47
TN11 8EN,53.2,0.84
TN8 5AL,64.9,0.89
TN13 1JW,66.9,0.96
DA3 8JQ,62.9,0.85
TN16 1RS,60.5,0.84
TN13 3UQ,66.4,1.01
TN14 5PF,66.6,0.93
DA4 9AB,55.3,0.78
TN8 7HU,52.8,0.9
DA4 9NA,66.9,0.92
BR8 8TN,66.4,0.95
TN14 7NE,53.7,0.79
TN15 6FH,80.5,1.14
TN13 2AP,54.2,0.6
DA3 8DN,64.1,0.91
DA4 0BY,62.2,0.88
TN14 5LP,63.0,0.72
TN13 2AF,83.4,1.08
TN14 6JR,48.8,0.81
BR8 7YP,60.9,0.98
DA3 8DS,53.5,0.81
BR8 8DD,56.5,0.66
TN8 6GA,81.2,1.13
TN13 2AU,59.0,0.82
TN15 6DX,56.5,0.79
TN14 5GU,86.9,1.18
TN11 9AW,70.7,1.03
BR8 8EZ,66.2,0.83
BR8 8BL,60.4,0.73
TN8 5PZ,67.2,1.01
TN8 7HE,45.5,0.77
TN13 3TU,58.9,0.74
TN11 8QB,59.7,0.71
TN16 1BD,57.6,0.72
TN13 2PU,59.2,0.85
BR8 8FB,84.2,1.08
DA3 8JX,74.2,0.93
TN8 5BL,69.0,0.95
TN8 5DY,53.2,0.75
TN13 1QH,64.4,0.97
BR8 7RT,56.5,0.74
TN13 1JG,63.8,0.8
TN13 1XR,69.4,0.9
TN16 1EJ,59.0,0.82
TN8 5DH,64.1,0.89
TN13 2TN,58.7,0.82
TN15 6DG,61.4,0.88
TN13 3PE,65.5,0.93
DA4 9LN,80.0,1.04
DA4 9LY,72.7,0.99
BR8 7JA,64.7,0.85
TN14 5LD,58.9,0.88
TN16 1QE,54.3,0.86
DA4 9AS,57.6,0.69
TN13 2RP,56.4,0.67
TN8 7AU,51.2,0.67
DA3 8LR,65.1,0.86
TN8 6HP,57.6,0.64
BR8 7HZ,64.7,0.9
TN13 1TJ,63.9,0.85
TN14 6PJ,45.3,0.83
TN15 6NL,49.4,0.75
TN16 1BE,62.7,0.76
BR8 7YG,62.8,0.93
BR8 8DG,62.1,0.85
TN13 2DB,62.5,0.93
BR6 7PP,51.1,0.89
TN14 5AQ,69.1,1.04
TN14 5BY,59.0,0.73
TN8 5LT,65.0,0.95
TN16 1JD,61.8,0.77
DA3 8HR,59.0,0.7
BR6 7QG,59.7,1.01
TN13 3LW,55.9,0.75
BR8 7HU,66.4,0.91
TN15 0SJ,51.2,0.68
TN13 3BE,73.7,0.97
BR8 8AQ,63.4,0.86
DA3 8HW,63.1,0.75
TN13 3PY,63.1,0.78
TN16 1EN,58.3,0.76
BR8 7JZ,62.7,0.79
DA3 8QY,50.0,0.85
BR8 8BE,48.6,0.68
TN15 6JS,48.1,0.66
DA4 0AJ,57.0,0.71
TN8 5RF,68.8,0.97
TN13 3UA,57.9,0.7
DA4 9FF,79.8,1.02
TN13 3HN,59.9,0.83
TN14 5LU,59.5,0.87
TN8 5HT,60.4,0.8
DA3 8LT,64.3,0.9
TN15 0SG,68.5,0.84
TN16 1DG,81.0,1.08
TN13 1PX,64.7,0.94
DA3 7BZ,60.2,0.86
TN11 8HH,33.0,0.56
TN13 2LT,68.4,0.99
TN8 6DB,63.4,0.82
BR8 7WP,76.8,0.99
DA3 7EA,64.3,0.91
TN14 5QR,63.2,0.8
BR8 8AU,64.3,0.93
TN8 6HQ,63.7,0.89
DA3 8QA,66.0,0.89
TN13 3BA,53.4,0.74
TN14 6DQ,71.4,1.03
BR8 8DN,65.8,0.76
TN13 3JB,55.1,0.73
BR8 7XW,66.9,0.92
TN14 5RJ,55.9,0.82
BR8 7BF,69.4,0.99
TN13 1EG,57.6,0.79
TN8 5HQ,64.5,0.86
DA3 8PY,60.7,0.84
TN13 1DQ,78.4,1.01
TN13 2QS,71.1,0.99
TN16 1AJ,59.0,0.82
TN13 1PH,64.9,0.92
TN8 6FJ,83.9,1.11
DA4 0AA,70.2,0.96
TN16 1RA,27.7,0.67
BR8 7JY,57.7,0.81
TN13 2QY,68.5,0.99
DA3 8QZ,50.4,0.86
TN15 0BZ,52.5,0.83
TN13 3EJ,66.7,0.87
TN11 8JD,37.2,0.67
TN8 6LG,52.0,0.79
TN13 2BE,83.5,1.1
TN8 5DJ,51.4,0.6
TN15 6DH,61.2,0.87
TN13 2AA,56.4,0.7
TN13 2YD,77.8,1.03
TN14 5JL,62.3,0.96
TN13 3QL,68.8,0.95
TN8 6NH,55.2,0.87
TN15 6XY,43.9,0.79
TN13 2QU,68.7,1.0
DA3 8LN,61.9,0.83
TN13 1PQ,67.6,0.93
BR8 7UJ,63.9,0.79
TN13 1NF,48.5,0.81
TN11 8AT,53.0,0.81
BR8 7DS,62.4,0.89
TN13 2PS,63.6,0.85
TN16 1JP,49.7,0.56
TN13 3TR,59.7,0.8
BR8 7SH,56.2,0.81
BR8 8NL,59.8,0.86
TN13 3RF,72.3,0.98
TN15 6NU,57.2,0.76
TN15 6BL,64.8,0.94
TN8 6NQ,53.4,0.82
BR8 8JY,61.2,0.82
TN8 6DN,69.2,0.8
TN13 3NE,54.9,0.75
TN14 6DA,46.2,0.74
TN15 6AS,43.0,0.71
BR8 7FQ,83.7,1.09
TN14 6LX,54.2,0.91
BR8 7DJ,60.5,0.85
DA4 0BQ,49.8,0.68
TN16 2EG,56.5,0.97
TN14 7UD,48.9,0.75
TN15 6HD,51.3,0.69
BR8 7DL,63.5,0.92
TN8 5DR,55.0,0.72
BR8 7DW,61.9,0.85
BR8 7DE,59.0,0.76
TN13 3UB,60.9,0.73
TN13 1HD,67.4,0.76
TN8 5JH,60.1,0.85
BR8 8AN,57.8,0.77
TN15 6PX,67.5,0.92
TN8 6LJ,40.9,0.87
TN8 7AD,42.6,0.52
DA3 8JG,63.6,0.88
BR8 7DU,68.2,0.97
TN13 3LU,52.1,0.68
TN11 8BF,84.5,1.15
BR8 7XT,59.6,0.93
TN13 1FB,80.3,1.05
TN13 3LH,62.8,0.79
BR8 7RF,59.0,0.72
DA4 0AP,42.7,0.48
BR8 8JZ,63.0,0.82
TN14 7UB,54.4,0.85
BR8 7SQ,59.4,0.77
DA3 8AW,61.9,0.85
TN11 8RJ,55.6,0.62
TN13 2JT,62.8,0.93
TN13 3AH,59.3,0.83
DA3 8LX,48.0,0.86
TN16 1TE,70.8,0.98
TN13 1PB,63.9,0.93
DA3 7DH,60.9,0.87
TN13 2AQ,59.7,0.7
TN8 5RN,80.6,1.08
TN13 2RZ,54.7,0.7
DA4 9BS,58.8,0.8
TN8 5BH,43.6,0.8
TN14 6QP,54.1,0.89
BR8 7PD,47.2,0.75
BR8 7YE,72.4,0.97
TN13 2SP,52.4,0.89
TN11 8QT,60.9,0.87
DA3 8DW,67.4,0.95
BR8 7TX,65.0,0.71
TN13 2EL,57.5,0.77
BR8 7FR,84.1,1.11
BR8 7TH,74.0,1.04
DA3 7EB,71.3,0.99
TN13 2LL,61.5,0.89
BR8 8EE,56.9,0.66
TN8 6LD,55.8,0.83
DA4 9GR,75.7,1.02
BR8 7LN,49.7,0.68
TN8 6BT,60.5,0.81
TN14 5FE,82.8,1.11
TN14 5AA,73.6,0.98
TN15 6EE,61.9,0.91
DA3 8LP,66.0,0.81
BR8 7BD,72.4,0.95
TN15 7HA,49.4,0.65
DA3 8NL,43.4,0.77
TN13 2UW,77.3,1.03
BR8 7RW,69.7,0.93
TN15 6HE,55.7,0.75
BR8 7YQ,63.5,0.91
BR8 7JU,65.7,0.92
TN14 5JX,67.4,0.89
BR8 7TD,66.3,0.87
BR8 7WD,65.9,0.98
TN14 5SJ,59.2,0.78
DA3 8AR,55.2,0.79
TN14 7EY,64.9,0.81
TN13 3SP,58.4,0.84
TN13 1FD,80.1,1.05
TN13 3NU,55.9,0.79
BR8 7WJ,59.0,0.97
DA4 9LR,56.3,0.74
TN16 1TS,57.6,0.84
TN13 3RA,62.9,0.79
TN15 6EZ,68.1,0.98
TN14 6EY,73.9,0.87
BR8 8HJ,65.9,0.8
TN15 6EB,59.1,0.82
BR8 7RX,65.8,0.88
BR8 7DQ,68.7,0.98
TN13 1PA,59.7,0.68
TN13 2XN,66.3,0.97
TN15 7HW,83.8,1.18
TN14 7HN,68.5,0.94
TN16 1TF,69.5,1.0
TN13 3AU,53.0,0.68
TN13 2TB,59.8,0.81
DA3 8RN,63.8,0.9
TN13 2PD,62.5,0.84
BR8 7QZ,64.6,0.9
TN14 7JE,57.9,0.77
TN8 7NN,42.7,0.74
TN14 7TN,42.1,0.65
TN8 5RG,70.5,0.97
TN13 2LX,77.6,1.04
TN14 5FN,82.9,1.09
TN13 1JD,57.2,0.53
TN14 7RP,50.8,0.85
TN15 6SN,71.0,1.0
TN13 3EL,55.3,0.74
TN13 3BD,52.7,0.6
TN14 6EJ,56.9,0.69
DA3 8EQ,57.5,0.71
DA3 7DP,69.9,0.94
BR8 7QU,63.8,0.87
BR8 8EY,53.4,0.65
BR6 7QD,61.7,0.92
DA4 9AR,57.2,0.69
TN14 7UA,49.0,0.89
TN13 3SU,72.8,0.97
BR8 7UL,63.6,0.78
TN13 2DY,55.0,0.8
TN15 6ST,69.0,0.99
TN8 6BP,61.2,0.89
BR8 7JG,56.4,0.71
TN8 5FD,79.7,1.07
DA3 7DF,65.0,0.97
TN15 6NX,64.5,0.93
TN13 3TE,64.3,0.8
TN15 6SL,62.8,0.96
TN13 2HQ,50.6,0.83
TN13 2EG,63.3,0.84
TN15 6HH,60.2,0.86
BR8 8BS,58.6,0.76
TN8 6DU,63.3,0.87
TN14 5JH,65.3,0.95
TN8 7NE,50.0,0.77
TN14 5RB,57.1,0.74
DA3 8RE,66.2,0.95
TN8 6RB,34.6,0.64
TN15 0LL,54.9,0.93
BR8 7EY,65.1,0.8
TN14 7SS,57.8,0.93
BR8 7SF,58.0,0.78
TN13 3HX,58.8,0.9
TN13 3RU,60.6,0.89
BR8 7AB,69.2,1.01
TN14 6DH,44.4,0.63
BR8 7UD,67.4,0.92
TN13 2TQ,54.4,0.79
DA3 8EP,62.7,0.71
TN8 5AB,74.6,0.98
TN14 5DZ,58.3,0.73
TN8 6DJ,64.0,0.84
TN13 3PB,58.1,0.76
