outcode,epc,hpr,lat,long
MK5,69.5,0.99,52.0209076,-0.7846548
MK10,79.1,1.08,52.0410506,-0.6982522
MK6,67.3,0.89,52.0295557,-0.7429696
MK8,72.0,1.02,52.0330526,-0.8047638
MK11,69.7,0.92,52.0510771,-0.8404949
MK13,65.4,0.9,52.0532824,-0.7825057
MK7,67.4,0.99,52.0190228,-0.6913147
MK3,70.3,0.96,51.9937256,-0.7517663
MK14,69.6,0.96,52.0632325,-0.7553798
MK2,67.0,0.85,51.990521,-0.7252031
MK15,68.6,0.98,52.0568594,-0.729772
MK9,78.1,1.0,52.0404,-0.754928
MK19,64.9,0.92,52.0751348,-0.8552011
MK46,65.1,0.91,52.1557959,-0.7020457
MK16,62.9,0.9,52.0896113,-0.7217314
MK17,74.3,1.02,51.997579,-0.6993948
MK12,66.4,0.87,52.0583718,-0.8166917
MK4,71.9,1.02,52.0040459,-0.7842687
MK43,68.8,1.0,52.1119082,-0.5583834
MK1,65.6,0.8,52.0055233,-0.7243816
NN29,46.7,0.79,52.2580421,-0.6648146
CO9,86.0,1.18,51.9689789,0.6094407
PE7,81.0,1.08,52.5371201,-0.2061648
