outcode,epc,hpr,lat,long
SG13,66.3,0.91,51.7877234,-0.0715474
CM20,70.1,1.03,51.7753987,0.1026721
CM23,67.6,0.92,51.872518,0.1583719
SG9,65.8,0.95,51.9507491,-0.0091601
SG11,61.4,0.89,51.8860481,0.0334702
SG14,65.5,0.88,51.8081282,-0.0940096
SG12,63.8,0.87,51.8143338,-0.0169035
SG2,59.4,0.88,51.8965414,-0.1640911
SG10,60.3,0.84,51.8467689,0.0754693
CM21,64.1,0.89,51.8122758,0.1452281
SG3,61.8,0.89,51.8604038,-0.1822612
EN10,56.0,0.91,51.7381929,-0.023162
AL6,61.0,0.88,51.832147,-0.1998286
EN11,43.7,0.67,51.7655817,-0.0091349
CM22,58.8,0.81,51.8657844,0.2271806
AL9,48.5,0.63,51.7445903,-0.1976882
CM19,41.0,0.9,51.7594581,0.0711651
HP2,65.0,1.05,51.7643313,-0.4522784
