postcode,epc,hpr
SA20 0EA,53.5,0.7
SA31 1LX,53.5,0.65
SA15 1LQ,62.4,0.83
SA15 5EP,60.5,0.86
SA15 2BA,62.6,0.88
SA40 9QD,36.4,0.76
SA31 1HE,51.5,0.66
SA17 4HX,81.3,1.16
SA15 2EN,82.8,1.18
SA18 2HE,54.1,0.76
SA15 1AT,53.7,0.68
SA20 0LL,49.0,1.02
SA32 8SA,49.0,0.87
SA14 8DE,58.6,0.91
SA34 0DH,41.2,0.8
SA15 4AA,49.3,0.7
SA44 5DG,44.6,0.79
SA15 1DN,53.4,0.7
SA14 6DZ,90.7,1.19
SA18 2NN,54.6,0.81
SA31 1HP,67.7,0.88
SA18 2EE,59.2,0.89
SA15 4SG,65.8,0.97
SA18 3SZ,71.5,1.07
SA31 2EJ,57.8,0.86
SA15 5JQ,37.9,0.74
SA14 7EG,55.1,0.88
SA16 0LR,41.3,0.65
SA15 1LG,56.7,0.75
SA33 4PH,37.2,0.73
SA15 2SL,58.0,0.71
SA15 2AL,60.3,0.8
SA14 6LU,36.9,0.68
SA15 4DG,55.9,0.84
SA15 3PS,52.8,0.67
SA39 9JU,46.5,0.79
SA17 4TD,63.4,0.9
SA15 3SP,51.5,0.84
SA15 1RS,62.6,0.81
SA20 0RF,38.5,0.75
SA14 8RA,61.4,0.87
SA16 0TF,70.4,0.99
SA44 5AL,74.4,1.05
SA32 8JE,52.2,0.91
SA19 7AW,56.9,0.94
SA38 9AR,73.1,1.01
SA16 0HP,68.4,0.87
SA14 6BX,67.0,1.03
SA18 1EJ,57.3,0.74
SA17 5SY,67.3,1.02
SA18 2FF,81.4,1.1
SA40 9TY,42.1,0.77
SA18 3AZ,80.4,1.14
SA18 1BU,53.3,0.7
SA18 2UR,55.9,0.96
SA15 2EL,62.2,0.71
SA33 5EH,51.2,0.76
SA31 2JG,43.2,0.79
SA14 9NU,58.5,0.89
SA31 3JW,72.4,0.99
SA19 8JW,51.2,0.88
SA31 1EY,48.8,0.64
SA15 5PB,58.7,0.88
SA14 8YU,53.0,0.83
SA16 0UU,64.5,0.86
SA31 1NN,56.7,0.72
SA31 1HN,71.8,1.01
SA14 7BB,55.6,0.88
SA14 6SA,53.9,0.88
SA4 0UE,60.2,0.84
SA38 9HT,38.5,0.74
SA32 8ES,66.5,1.04
SA18 2NF,59.4,0.86
SA33 4HY,33.6,0.68
SA15 4RE,31.8,0.76
SA18 1NN,48.0,0.69
SA18 3DW,109.3,1.2
SA15 1LD,61.4,0.92
SA15 1EA,54.6,0.66
SA33 6TL,41.0,0.71
SA17 4JJ,82.8,1.18
SA15 4DH,52.4,0.7
SA15 1RR,50.6,0.67
SA15 1BU,56.0,0.67
SA48 8HL,51.6,0.82
SA18 3RA,60.9,0.88
SA14 9EF,67.0,0.94
SA33 4AX,44.0,0.79
SA15 4DA,73.0,1.05
SA15 4SH,61.3,0.92
SA14 6BN,37.6,0.73
SA15 1TP,58.5,0.76
SA15 4AG,60.0,0.74
SA14 9UJ,82.2,1.16
SA15 1HP,67.4,0.9
