outcode,epc,hpr,lat,long
SA20,48.9,0.76,52.0119374,-3.78776
SA31,62.2,0.87,51.8567444,-4.3082937
SA15,59.5,0.81,51.6995488,-4.1678401
SA40,44.3,0.78,52.0842938,-4.1755517
SA17,58.1,0.88,51.7568602,-4.2854106
SA18,57.9,0.85,51.7977271,-3.9609347
SA32,47.9,0.82,51.8878923,-4.1696166
SA14,59.5,0.89,51.735052,-4.1062507
SA34,52.8,0.82,51.8521658,-4.6189874
SA44,45.5,0.79,52.0874643,-4.3732402
SA16,61.4,0.86,51.6893287,-4.2569858
SA33,50.7,0.84,51.8495123,-4.4408804
SA39,47.9,0.82,52.0188701,-4.2435846
SA19,49.6,0.79,51.9545649,-3.9481925
SA38,45.3,0.78,52.0402001,-4.476398
SA4,62.9,0.91,51.6732535,-4.0486716
SA48,55.2,0.84,52.1449088,-4.11325
SA66,49.5,0.87,51.8836245,-4.7449465
SA67,40.3,0.9,51.783184,-4.7328423
SA37,43.8,0.79,52.0159313,-4.5927184
SA9,42.9,0.73,51.7812869,-3.7689001
SA35,42.8,0.75,51.9710664,-4.5582429
