district,epc,hpr
SA20,48.9,0.76
SA31,62.2,0.87
SA15,59.5,0.81
SA40,44.3,0.78
SA17,58.1,0.88
SA18,57.9,0.85
SA32,47.9,0.82
SA14,59.5,0.89
SA34,52.8,0.82
SA44,45.5,0.79
SA16,61.4,0.86
SA33,50.7,0.84
SA39,47.9,0.82
SA19,49.6,0.79
SA38,45.3,0.78
SA4,62.9,0.91
SA48,55.2,0.84
SA66,49.5,0.87
SA67,40.3,0.9
SA37,43.8,0.79
SA9,42.9,0.73
SA35,42.8,0.75
