outcode,epc,hpr,lat,long
SN14,63.5,0.92,51.4755423,-2.1991424
SN13,66.1,0.93,51.4245832,-2.2124861
SN8,58.8,0.88,51.4063157,-1.6857426
SP4,70.0,0.99,51.1660243,-1.7660031
BA14,65.9,0.93,51.3191164,-2.2025658
BA12,60.8,0.88,51.1708259,-2.1888898
SN10,63.4,0.92,51.3370397,-1.9869176
SP1,64.9,0.88,51.075221,-1.7887748
SN9,55.8,0.89,51.3242371,-1.7880126
SN11,67.4,0.95,51.4393874,-1.9990879
SN12,67.4,0.96,51.3722003,-2.1366155
SP3,52.6,0.85,51.1021334,-2.0158963
BA13,66.3,0.95,51.2621061,-2.1816707
BA15,63.1,0.89,51.3482711,-2.2580986
SN16,60.9,0.9,51.5920459,-2.084858
SN15,64.4,0.93,51.4723,-2.0830579
SP9,72.4,1.01,51.233459,-1.6649674
SN4,66.5,0.96,51.530429,-1.8406454
SP5,58.6,0.9,51.021579,-1.770351
SP2,66.3,0.92,51.0750553,-1.8258872
SN5,68.2,0.98,51.5668285,-1.8397596
SN6,63.3,0.92,51.6215185,-1.7409572
SP11,64.1,0.95,51.2275811,-1.5120802
GL8,48.6,0.84,51.6425527,-2.1709169
GL7,47.9,0.81,51.7113826,-1.8967753
BA2,60.6,0.84,51.3592543,-2.3793066
SP7,50.6,0.82,51.0050805,-2.1843108
RG17,56.8,0.84,51.4435994,-1.5030377
SO51,54.6,0.86,50.9959687,-1.5037602
SP6,52.0,0.75,50.9365589,-1.8023782
GL9,38.0,0.64,51.5555981,-2.3033165
BA11,22.0,0.33,51.2332006,-2.3245542
