outcode,epc,hpr,lat,long
N8,65.0,0.73,51.5829293,-0.1198918
N22,63.2,0.71,51.5998948,-0.1102841
N17,66.4,0.78,51.5980699,-0.0717424
N10,62.1,0.69,51.5948015,-0.1450221
N15,65.7,0.75,51.5826261,-0.081173
N4,64.0,0.69,51.5700217,-0.1043503
N11,66.1,0.78,51.6137464,-0.1388912
N6,63.1,0.7,51.5731718,-0.1460635
N2,60.7,0.71,51.5900894,-0.1692626
N1C,84.4,1.05,51.5365569,-0.1258562
N13,63.2,0.77,51.618112,-0.1042702
N18,58.7,0.63,51.6138819,-0.0665839
SW4,81.0,1.05,51.4611107,-0.1364914
NN17,58.0,0.64,52.5010487,-0.6842686
SW7,86.0,1.01,51.4962781,-0.1770136
E5,70.0,1.07,51.5588861,-0.0537874
