outcode,epc,hpr,lat,long
KT2,64.6,0.81,51.4189252,-0.2906684
KT3,61.3,0.77,51.3995791,-0.2574604
KT9,62.2,0.8,51.3639202,-0.3032309
KT1,63.8,0.78,51.4074987,-0.2982129
KT6,62.5,0.77,51.38741,-0.3026903
KT4,59.8,0.79,51.3784115,-0.243017
KT5,60.8,0.74,51.3906807,-0.2867503
KT19,61.3,0.83,51.3525254,-0.2707598
SW15,60.4,0.76,51.4570342,-0.2284869
SW20,68.0,0.88,51.4109597,-0.2277548
TW10,67.6,0.95,51.4477641,-0.3029046
KT22,40.6,0.73,51.3015607,-0.3393496
KT24,85.0,0.92,51.2701574,-0.4298101
KT18,63.0,0.95,51.3160216,-0.2633727
KT7,73.9,1.07,51.3881177,-0.3337295
