outcode,epc,hpr,lat,long
HX2,61.8,0.83,53.7385491,-1.9066236
HX3,60.9,0.81,53.7267217,-1.844259
HX6,61.6,0.8,53.6968778,-1.927434
HX1,56.0,0.69,53.7210243,-1.8716182
HD6,61.7,0.83,53.7024215,-1.7843814
HX7,58.3,0.74,53.7392443,-2.0085802
HX4,60.7,0.82,53.6770659,-1.8826642
HX5,62.2,0.82,53.6845992,-1.8352938
OL14,57.5,0.73,53.7144173,-2.1009851
HD3,60.8,0.87,53.6536196,-1.8320544
HD2,58.6,0.9,53.668833,-1.7767268
BD13,57.4,0.65,53.7867466,-1.8612838
BD19,62.5,0.91,53.7273298,-1.7141196
BD6,50.0,0.77,53.7645222,-1.7861654
SW19,87.0,1.05,51.4241552,-0.2029208
HD5,53.7,0.69,53.6474167,-1.7462168
OL15,59.0,0.91,53.6448116,-2.0999458
