outcode,epc,hpr,lat,long
DN4,63.8,0.88,53.504999,-1.1211527
DN12,64.0,0.89,53.4826131,-1.2241725
S64,62.0,0.85,53.4907312,-1.2988429
DN5,60.4,0.83,53.538349,-1.1744232
DN3,65.4,0.95,53.546061,-1.059325
DN2,61.2,0.85,53.5337629,-1.1026264
DN1,59.5,0.73,53.5216788,-1.1307019
DN8,63.9,0.9,53.6152815,-0.9552368
DN7,62.9,0.92,53.5833786,-1.01316
DN10,63.6,0.89,53.424485,-0.9350013
DN9,69.7,1.0,53.5059237,-0.8929973
DN6,61.6,0.86,53.597914,-1.1785488
DN11,63.3,0.9,53.448826,-1.0821884
S66,56.3,0.89,53.4201548,-1.2439946
DN14,47.8,0.85,53.7086376,-0.9413185
S72,65.3,1.05,53.5786497,-1.3911586
WF8,43.2,0.83,53.6861759,-1.3004853
DN44,75.5,0.73,nan,nan
DN55,71.5,1.04,53.5129234,-1.1257209
