date,average_rating,y/y
2008,59.00617919670443,0
2009,59.99754730203224,1.680108962864651
2010,60.849626865671645,1.4201906610448145
2011,61.74488614434581,1.4712650262432891
2012,65.3422190201729,5.82612277787237
2013,65.10917506125783,-0.3566514305905784
2014,62.12991021324355,-4.575798795194759
2015,61.676582761250955,-0.7296444666291529
2016,60.24064171122995,-2.328178679385516
2017,63.461635220125785,5.346877817696597
2018,65.09209809264306,2.569210306135
2019,64.86633866338663,-0.34683077650241534
2020,66.28933566433567,2.19373719909405
2021,67.1216457960644,1.2555716894543019
2022,67.72177055103884,0.8940852803249238
