date,average_rating,y/y
2008,62.1061388410786,0
2009,64.13176858142887,3.2615612210792797
2010,63.780511571254564,-0.5477114041043679
2011,65.59718056388722,2.8483136116007843
2012,65.77841873091279,0.2762895683436504
2013,64.94990916169219,-1.2595461934253507
2014,64.45573159366263,-0.7608595214495312
2015,66.26879956248291,2.8128886663642194
2016,67.84900808229243,2.3845437524782453
2017,68.5040650406504,0.9654628370741568
2018,68.18555060471037,-0.4649569857657706
2019,68.82326869806094,0.9352686715805689
2020,68.38561284347021,-0.635912625003033
2021,69.2846956964604,1.3147251528594572
2022,71.81579569638212,3.653187727071203
