date,average_rating,y/y
2008,50.91925465838509,0
2009,54.382709251101325,6.8018564214114825
2010,52.79094624331971,-2.9269652610206807
2011,56.22707147375079,6.508929039827348
2012,57.98609731876862,3.128432263876698
2013,61.97191756056406,6.873751513029191
2014,55.92755156002115,-9.7533951481102
2015,51.15422210154765,-8.534844321498298
2016,48.94221179231446,-4.324198899637396
2017,51.95906656465188,6.164116131774746
2018,56.64545454545455,9.019384470603352
2019,56.78406241292839,0.24469371564954046
2020,57.93152173913043,2.020741872706856
2021,59.41158059467919,2.5548420119422386
2022,59.78521332554062,0.6288887235814303
