date,average_rating,y/y
2008,59.047764227642276,0
2009,57.9265850945495,-1.898766444010274
2010,58.83485148514851,1.5679612204249755
2011,58.486357108664436,-0.5923264318463449
2012,60.00185013876041,2.591190672519186
2013,60.83284580025073,1.3849500633206435
2014,59.608403361344536,-2.0127982224056136
2015,57.29839249832552,-3.8753107494186563
2016,59.86369536996971,4.4770939633588505
2017,61.49109014675052,2.718500364408149
2018,61.12793979303857,-0.5905739398102734
2019,65.24627754615842,6.737242850099884
2020,64.75168236877523,-0.7580435175528419
2021,63.84193061840121,-1.4049855032225869
2022,65.748781280468,2.9868311368346596
