date,average_rating,y/y
2008,65.45805962607378,0
2009,63.35797889878008,-3.20828441797742
2010,64.63768967205091,2.0198099679209753
2011,65.18183788469874,0.8418435365011412
2012,66.07027884833371,1.3630191974742345
2013,65.68629961587708,-0.5811678702583875
2014,63.22843245227607,-3.741826192028202
2015,66.617094804746,5.359396431388127
2016,64.90409413281753,-2.5714130538854274
2017,66.98930753564154,3.2127609678318603
2018,67.33181684766657,0.5112895245898729
2019,67.93510963793983,0.8959995712549462
2020,65.93579516212043,-2.9429767412973202
2021,68.32592913641781,3.6249414577023207
2022,68.71779287331665,0.5735212705508274
