date,average_rating,y/y
2008,57.58158995815899,0
2009,59.83736205990541,3.9175231239456
2010,61.446107784431135,2.6885304918942623
2011,61.980072616735626,0.8689969984393123
2012,60.04576751721345,-3.120850005264246
2013,56.45840835433921,-5.974374733149744
2014,57.74798639699302,2.2841204352773707
2015,59.013513513513516,2.1914653574594456
2016,57.447876447876446,-2.6530144918054304
2017,59.402881536819635,3.403093743102936
2018,62.468629343629345,5.160941232976167
2019,64.55220228384992,3.3353908387507523
2020,70.38382978723405,9.033971417026496
2021,64.67394416607016,-8.112496348130703
2022,65.79395085066163,1.7317742083512229
