date,average_rating,y/y
2008,53.18863879957127,0
2009,53.0262539184953,-0.30529993761991403
2010,52.99918633034988,-0.05104563521878346
2011,57.53826850690088,8.564437476942361
2012,56.660558863948694,-1.525436315218479
2013,56.95151327980235,0.513504317089925
2014,58.17395143487859,2.146454211094288
2015,55.33613445378151,-4.878157510537688
2016,54.46355391333557,-1.5768729584368506
2017,57.3346098611776,5.271517816135455
2018,57.396488362596976,0.10792521579758438
2019,55.92247810574116,-2.568119233260213
2020,62.215390147428984,11.252920569415489
2021,63.229370249728554,1.6297898315783075
2022,63.97202268431002,1.1745371362205743
