sector,epc,hpr,lat,long
NP44 6,65.3,0.96,-3.0582894624999986,51.6407385375
NP44 1,68.8,0.92,-3.026778868725869,51.66203856756754
NP44 8,62.4,0.85,-3.00375628,51.64634982000001
NP4 6,61.4,0.8,-3.0529201958041954,51.705960321678326
NP4 5,63.9,0.87,-3.030131135000003,51.68548204500003
NP4 7,64.6,0.88,-3.067028508403364,51.730971785714274
NP44 2,63.2,0.85,-3.007493559748426,51.6613565283019
NP4 9,65.2,0.85,-3.083931770334929,51.773578660287065
NP44 4,65.8,0.87,-3.0422332982456157,51.646438988304105
NP18 1,63.8,0.91,-2.95586528742515,51.618864005988016
NP44 3,70.3,0.95,-3.0189777018348605,51.64295976146794
NP4 0,64.0,0.9,-2.997710145728643,51.70591255778896
NP44 5,68.1,0.94,-3.0476605905511813,51.65874211023622
NP4 8,65.4,0.88,-3.042607164502164,51.71717441125541
NP44 7,68.0,0.94,-3.0334474869565224,51.63897336521738
NP11 5,43.6,0.67,-3.1316722937500003,51.66711527499999
NP10 9,45.0,0.68,-3.055315442060086,51.58987012446353
NP20 7,82.0,1.16,-3.028114898809525,51.61027474999998
