district,epc,hpr
SA43,55.9,0.86
SA44,46.8,0.81
SA40,49.9,0.85
SY23,57.7,0.84
SY25,45.9,0.79
SA38,49.0,0.84
SA47,50.2,0.85
SY24,50.9,0.83
SA46,50.6,0.84
SA48,52.2,0.85
SA45,48.6,0.81
SA39,42.8,0.77
SY20,45.0,0.77
LD6,71.0,1.04
