sector,epc,hpr,lat,long
SA43 1,59.2,0.85,-4.645558210256411,52.09396324102565
SA44 5,46.5,0.81,-4.392093371900826,52.048793838842975
SA43 2,51.3,0.87,-4.578623713043477,52.08931241304344
SA40 9,49.9,0.85,-4.175506028301885,52.08430599999999
SY23 3,58.5,0.9,-4.0182558504983374,52.41382268438537
SY25 6,45.9,0.79,-3.937153764976959,52.2380608064516
SY23 5,51.1,0.87,-4.145935201438847,52.281469769784174
SA38 9,49.0,0.84,-4.477168706806284,52.04017731937172
SY23 2,60.7,0.76,-4.079926297297297,52.4166755045045
SA47 0,50.2,0.85,-4.299710309859155,52.192256605633794
SY24 5,50.8,0.83,-4.020693089041097,52.47276663698629
SA44 6,48.4,0.83,-4.417992909547741,52.15386753768842
SA46 0,50.6,0.84,-4.257254353846153,52.23790173076922
SA48 8,49.3,0.85,-4.087659942105265,52.152496426315786
SY23 1,61.6,0.81,-4.07784770984456,52.40943809844558
SA44 4,45.9,0.8,-4.312483474885847,52.07088145662103
SA48 7,54.4,0.84,-4.138728284946235,52.13668183333336
SY23 4,51.4,0.86,-4.005945978902956,52.34864128691984
SA45 9,48.6,0.81,-4.3581525425531895,52.20811944680852
SA43 3,59.4,0.84,-4.688094424242424,52.07405778787879
SA39 9,42.8,0.77,-4.243627863247863,52.018888205128185
SY20 8,45.0,0.77,-3.8385396371308,52.58189102953592
SY24 3,81.3,1.13,nan,nan
SA40 7,79.0,1.06,nan,nan
SA48 0,52.2,0.81,nan,nan
SA43 0,80.0,1.06,nan,nan
SY25 5,82.0,1.13,nan,nan
LD6 5,71.0,1.04,-3.508942786324785,52.31035164102566
SA38 0,24.7,0.54,nan,nan
SA45 0,81.0,1.09,nan,nan
