outcode,epc,hpr,lat,long
SA43,55.9,0.86,52.0872908,-4.6280484
SA44,46.8,0.81,52.0874643,-4.3732402
SA40,49.9,0.85,52.0842938,-4.1755517
SY23,57.7,0.84,52.3800111,-4.051249
SY25,45.9,0.79,52.2379435,-3.9371965
SA38,49.0,0.84,52.0402001,-4.476398
SA47,50.2,0.85,52.1922116,-4.2996604
SY24,50.9,0.83,52.4727828,-4.0207042
SA46,50.6,0.84,52.2377669,-4.2574871
SA48,52.2,0.85,52.1449088,-4.11325
SA45,48.6,0.81,52.2081814,-4.3582137
SA39,42.8,0.77,52.0188701,-4.2435846
SY20,45.0,0.77,52.6147887,-3.81884
LD6,71.0,1.04,52.3100474,-3.5092516
