district,epc,hpr
NE70,54.8,0.86
NE22,65.7,0.94
NE46,61.8,0.87
NE23,67.0,0.96
NE61,65.3,0.94
NE25,68.0,0.95
NE24,66.8,0.93
NE48,47.3,0.8
NE68,53.0,0.89
NE65,61.4,0.92
NE20,63.2,0.94
NE47,48.8,0.81
NE42,64.6,0.92
CA8,45.6,0.76
TD15,58.6,0.86
NE62,62.5,0.91
NE66,60.2,0.89
NE18,48.5,0.82
NE63,65.5,0.93
NE67,54.1,0.9
NE64,63.0,0.9
NE71,55.8,0.86
NE45,63.0,0.87
NE49,56.0,0.81
TD12,43.7,0.78
NE26,65.2,0.9
NE19,46.0,0.82
NE15,57.4,0.89
DH8,44.1,0.74
NE13,51.5,0.69
CA9,39.4,0.67
NE43,57.4,0.84
NE41,60.7,0.85
NE69,48.4,0.84
NE44,54.3,0.81
TD5,14.8,0.55
NE17,43.7,0.75
