outcode,epc,hpr,lat,long
S61,64.7,0.89,53.4441131,-1.3949172
S60,65.9,0.92,53.4123073,-1.3507801
S63,66.8,0.92,53.5185718,-1.3305698
S66,64.5,0.91,53.4201548,-1.2439946
S62,63.2,0.87,53.465419,-1.3479048
S64,64.1,0.9,53.4907312,-1.2988429
S65,63.3,0.87,53.436171,-1.3185879
S73,64.0,0.9,53.5244965,-1.3950715
S26,63.7,0.91,53.3526108,-1.2915543
S25,64.0,0.91,53.3658458,-1.2168611
S81,55.0,0.86,53.3386575,-1.1239571
S13,62.8,0.9,53.3646431,-1.3836802
S80,44.3,0.81,53.2925801,-1.1521193
S35,48.7,0.72,53.4586541,-1.4979375
S74,25.4,0.53,53.5009685,-1.4411464
DN12,48.2,0.86,53.4826131,-1.2241725
DN11,44.0,0.66,53.448826,-1.0821884
