outcode,epc,hpr,lat,long
SW5,64.6,0.65,51.4915827,-0.1919239
W8,62.9,0.67,51.5011337,-0.1943202
W11,62.8,0.66,51.512272,-0.2164413
SW10,64.8,0.7,51.483784,-0.1827911
W2,61.2,0.61,51.5151251,-0.1854875
SW3,63.7,0.65,51.4891244,-0.1657226
W10,67.1,0.74,51.5230766,-0.2176568
SW7,63.2,0.65,51.4962781,-0.1770136
W14,69.3,0.77,51.494691,-0.2102541
SW1X,63.5,0.66,51.4982019,-0.1566313
SW1W,62.5,0.66,51.4925553,-0.1509311
WD10,67.0,0.71,nan,nan
SL10,64.0,0.59,nan,nan
NW10,49.0,0.63,51.5412842,-0.2480596
N1,81.0,1.0,51.5377218,-0.0970473
