district,epc,hpr
CF72,66.8,0.94
CF37,61.1,0.78
CF43,57.5,0.7
CF42,58.3,0.69
CF40,58.1,0.73
CF44,62.3,0.83
CF45,59.9,0.75
CF39,61.7,0.81
CF38,65.6,0.93
CF41,58.7,0.72
CF15,63.1,0.86
CF35,57.9,0.86
CF7,52.0,0.47
SA11,42.0,0.93
CF83,52.6,0.79
