sector,epc,hpr,lat,long
CF72 9,67.4,0.95,-3.4250014154727824,51.52703339255016
CF37 3,60.4,0.8,-3.3495979424460427,51.63106799280575
CF37 2,58.4,0.75,-3.3545637218543045,51.60692290728475
CF43 4,57.8,0.7,-3.460436331168831,51.66620389610387
CF42 5,59.0,0.7,-3.539782835616438,51.67610812328767
CF42 6,57.5,0.69,-3.5099106441717782,51.659713300613525
CF40 1,59.1,0.76,-3.4461567737556544,51.612867900452486
CF72 8,64.4,0.9,-3.374882027027028,51.53324309797298
CF37 4,59.0,0.73,-3.327553398843932,51.61037468786128
CF44 0,64.9,0.9,-3.4344477033898304,51.71813956355933
CF45 4,60.8,0.77,-3.349991798283261,51.66342328755363
CF44 8,62.4,0.81,-3.4618601347150286,51.719222145077694
CF39 8,65.8,0.89,-3.442924027131782,51.58247634496125
CF40 2,57.4,0.7,-3.4557140607287424,51.62686451821863
CF44 7,58.4,0.72,-3.446313700934581,51.7118199906542
CF39 0,56.2,0.71,-3.4135739374999985,51.62397484821429
CF38 1,66.6,0.94,-3.3182320574162696,51.56629534928229
CF38 2,64.8,0.92,-3.3455579117647023,51.55553275630255
CF43 3,57.2,0.7,-3.434289821782176,51.64455400990097
CF37 1,59.0,0.71,-3.339840289592762,51.59535291402717
CF44 9,62.9,0.88,-3.511584842105263,51.74085697570852
CF44 6,61.3,0.79,-3.430461415178571,51.69610719196429
CF41 7,58.7,0.72,-3.482017915322578,51.64736858870967
CF45 3,59.1,0.73,-3.3759955980392164,51.676501034313766
CF37 5,67.8,0.92,-3.3058922239583346,51.583401208333306
CF39 9,58.1,0.73,-3.408735696132596,51.60884473480661
CF15 7,63.2,0.86,-3.2619140601092904,51.547228409836045
CF35 6,58.3,0.86,-3.528071170418007,51.53221878456591
CF72 4,83.4,1.18,-3.464554692307692,51.53062923076924
CF7 9,52.0,0.47,nan,nan
CF15 9,52.7,0.78,-3.298874993506494,51.53199222727271
CF35 5,53.8,0.91,-3.521750700598804,51.50475263473055
SA11 5,42.0,0.93,-3.622817559523809,51.74609601190475
CF83 1,51.5,0.8,-3.2236758321167893,51.57215853284675
CF40 6,70.0,0.76,nan,nan
CF83 4,56.0,0.75,-3.272864629032258,51.60127620967738
CF38 8,88.0,1.18,nan,nan
CF38 4,44.0,0.46,nan,nan
CF37 8,72.0,0.82,nan,nan
CF37 6,79.0,1.14,nan,nan
