outcode,epc,hpr,lat,long
SE18,69.2,0.83,51.4843462,0.0726765
SE9,63.1,0.78,51.4451387,0.0548051
SE2,67.2,0.82,51.4896972,0.1159327
SE3,65.4,0.78,51.4694787,0.0196345
SE28,72.7,0.93,51.5023617,0.104435
SE10,75.2,0.92,51.4846226,0.0003716
SE8,74.6,0.94,51.4819486,-0.0294902
SE13,71.2,0.85,51.4594042,-0.0095672
SE7,67.5,0.8,51.4842259,0.0340854
SE12,64.0,0.8,51.4446759,0.0200181
DA15,61.1,0.83,51.4414641,0.0981804
BR7,56.2,0.67,51.4148588,0.0645782
DA16,52.7,0.78,51.4648617,0.1062654
CR2,81.0,1.11,51.3480184,-0.0820678
TQ12,87.0,1.12,50.5294305,-3.6123156
SW18,78.0,0.97,51.4512533,-0.191462
SW13,88.0,0.93,51.4761464,-0.2438054
RG1,84.0,1.08,51.4512045,-0.9696684
