outcode,epc,hpr,lat,long
E7,61.8,0.69,51.5471369,0.027572
E15,70.6,0.86,51.5402208,0.0032141
E6,63.3,0.75,51.5264995,0.053874
E16,75.7,0.95,51.5105927,0.0289721
E13,65.0,0.75,51.5278271,0.0267009
E20,83.0,1.05,51.5465858,-0.0100095
E12,62.8,0.7,51.5507498,0.0529473
IG11,84.2,1.13,51.5350133,0.0932901
E3,68.6,0.98,51.527941,-0.0252696
SW17,55.3,0.91,51.4307971,-0.1648874
CM23,86.0,1.04,51.872518,0.1583719
ME12,81.0,1.12,51.4223196,0.8043021
TW9,87.0,1.14,51.4694559,-0.2927343
N16,83.0,0.92,51.5625965,-0.0766528
NW4,84.0,1.04,51.5873411,-0.2243033
EX20,85.0,1.16,50.7519249,-4.019293
