outcode,epc,hpr,lat,long
GL7,62.9,0.9,51.7113826,-1.8967753
GL56,62.4,0.9,51.9895485,-1.7034227
GL54,58.2,0.87,51.8965086,-1.8457414
GL53,56.1,0.87,51.8795927,-2.0676025
WR12,57.1,0.83,52.0414013,-1.8704376
GL8,62.6,0.89,51.6425527,-2.1709169
GL55,61.5,0.87,52.0639021,-1.7695409
GL4,49.9,0.83,51.8406968,-2.2188091
OX7,49.3,0.81,51.9104488,-1.5287932
GL6,49.0,0.78,51.7343681,-2.1938197
OX18,40.6,0.63,51.7628074,-1.5916671
GL9,46.6,0.79,51.5555981,-2.3033165
SN6,49.9,0.8,51.6215185,-1.7409572
WR11,55.0,0.84,52.0958405,-1.9290168
GL12,36.3,0.61,51.6242009,-2.3889711
SN16,79.5,1.07,51.5920459,-2.084858
GL11,35.0,0.65,51.6901084,-2.357213
