sector,epc,hpr,lat,long
LE65 1,65.6,0.95,-1.4593191757322177,52.74791276569037
LE65 2,69.3,0.98,-1.4806728493150687,52.749748410958894
DE12 7,61.1,0.91,-1.5172751974789924,52.70446079831934
LE67 3,63.8,0.87,-1.375233871369294,52.72357331535267
DE74 2,64.9,0.91,-1.3249102392638044,52.83888525460124
LE67 4,67.0,0.97,-1.3403401244239637,52.7215298248848
LE67 2,66.9,0.96,-1.3936957235772354,52.70963883739837
DE12 6,61.0,0.9,-1.557592898058252,52.741393917475726
LE67 5,62.3,0.89,-1.3556748136645962,52.7402232236025
LE67 6,65.5,0.93,-1.4004222056737592,52.69025594326243
LE67 1,60.5,0.84,-1.345338493670886,52.68629088607595
LE67 8,59.7,0.89,-1.388505914634146,52.75316372560976
DE12 8,54.4,0.86,-1.6179575491803275,52.72912077049181
DE11 8,66.7,0.99,-1.5389321666666669,52.76592117901233
LE12 9,55.2,0.87,-1.299359,52.76875885119048
DE11 7,51.9,0.82,-1.5310706960352425,52.77537631718063
LE12 5,58.4,0.84,-1.2234693062200956,52.802304129186574
DE73 8,49.2,0.86,-1.4206327377049182,52.81975494535516
DE72 2,51.4,0.69,-1.378471754716981,52.86111077358489
LE67 9,51.7,0.84,-1.2802940067567563,52.6874951891892
DE74 0,84.2,1.17,-1.35735225,52.84238800000001
NG10 3,39.0,0.73,-1.2938578196078434,52.88647094509806
LE65 8,12.0,0.32,nan,nan
DE73 1,57.0,0.77,nan,nan
LE65 3,84.0,1.18,nan,nan
LE6 6,69.0,0.76,nan,nan
DE74 7,83.0,1.18,nan,nan
DE12 3,63.0,1.0,nan,nan
