outcode,epc,hpr,lat,long
ME15,67.7,0.91,51.2532135,0.5335779
ME14,65.6,0.88,51.2787626,0.5435955
ME16,67.8,0.9,51.273831,0.4960741
ME17,66.9,0.95,51.2331334,0.6111241
TN27,68.1,0.97,51.1678981,0.6938213
TN12,65.7,0.93,51.1724422,0.4445547
ME5,64.6,0.93,51.348554,0.532612
ME18,61.1,0.85,51.2417887,0.4154143
ME9,47.1,0.81,51.3358666,0.7219229
ME7,60.5,0.87,51.379774,0.5557972
ME20,61.2,0.75,51.3033514,0.4598919
ME13,44.2,0.69,51.3036496,0.8945604
TN17,44.1,0.69,51.0962819,0.5367581
N5,78.0,1.08,51.5538671,-0.0986076
