postcode,epc,hpr
RG22 4BW,84.9,1.1
RG24 9DU,54.9,0.88
RG25 2PH,50.8,0.71
RG24 7DL,71.2,1.09
RG28 7SB,47.7,0.66
RG21 7RW,56.7,0.73
RG21 4AT,60.5,0.68
RG24 9DH,71.6,0.95
RG24 8NW,84.2,1.16
SP11 6GD,78.0,1.1
RG20 5PG,53.5,0.92
RG28 7FS,84.7,1.18
RG26 3SP,53.6,0.88
RG20 4UT,65.2,0.95
RG26 3LF,64.1,0.85
RG22 6JE,67.5,0.91
RG24 8UN,60.8,0.94
RG22 6BG,73.5,0.99
RG23 8BU,75.2,0.94
RG24 8SR,68.4,0.96
RG21 7UE,82.1,1.01
RG22 4QG,78.4,1.03
RG24 8TA,66.6,0.94
RG23 7HT,68.5,0.92
RG26 3NA,66.4,0.91
RG21 5LB,80.2,1.02
SP11 6TW,82.1,1.14
RG24 9TU,80.3,1.1
RG24 8WW,67.8,0.97
RG22 6QU,67.9,0.93
RG22 4LH,73.2,1.0
RG24 9XX,83.8,1.18
RG21 8YE,63.0,1.0
RG24 9JJ,66.4,0.95
RG25 2PD,53.4,0.77
RG23 8EB,67.9,0.91
RG28 7ND,58.5,0.75
RG22 5BS,62.5,0.86
RG25 3LR,66.2,0.93
RG22 5RF,63.9,0.92
RG20 9HA,70.2,1.0
RG25 2HU,51.0,0.76
RG28 7NU,52.6,0.69
RG28 7EP,62.0,0.89
RG28 7ET,66.2,0.94
RG24 9AF,83.1,1.03
RG22 6LE,68.5,0.95
RG21 7TL,75.2,0.98
RG21 7UG,81.8,1.01
RG23 7FA,84.5,1.17
SP11 6AR,61.0,0.92
RG23 7DP,66.1,0.95
RG22 4PS,70.3,1.01
RG26 5HE,79.2,1.03
RG21 7AY,71.9,1.01
RG26 4BP,58.1,0.85
RG24 9XP,83.8,1.18
RG24 8TH,61.4,0.95
RG24 8PN,84.1,1.15
RG22 4QR,75.0,1.04
RG22 6JD,73.8,0.95
RG22 6SQ,67.7,0.93
RG24 9DX,78.0,1.0
RG21 6AE,81.6,1.04
RG26 5UW,66.2,0.96
RG22 6ET,60.2,0.79
SP11 6WY,80.5,1.13
RG21 5QN,69.1,0.9
RG24 9RG,79.3,1.04
RG24 9UL,81.9,1.1
RG22 4JE,66.6,0.96
RG21 7BL,66.2,1.0
RG21 5HS,69.7,1.01
RG20 4AB,79.8,1.1
RG21 5NY,64.2,0.91
RG22 4RN,62.9,0.99
RG21 8TL,52.5,0.57
RG22 4QE,72.5,1.04
RG28 7RB,60.4,0.81
SO21 3BJ,52.7,0.82
RG21 5NN,72.1,1.0
RG22 4UQ,69.5,0.97
RG24 9QA,83.9,1.18
RG22 4EJ,67.5,0.86
RG7 2QE,62.8,0.88
RG19 8BB,53.8,0.92
RG22 4HP,65.2,0.89
RG24 9BU,84.7,1.18
RG26 5NT,63.8,0.93
RG22 4NY,67.1,0.97
RG22 4FF,75.0,1.02
RG21 5QP,68.7,0.87
RG24 9LS,69.1,0.86
RG22 6UD,64.0,0.85
RG20 9AN,82.7,1.15
RG26 5BT,60.0,0.99
RG21 5UA,68.5,0.89
RG24 9FJ,80.7,1.02
RG26 5PX,60.1,0.89
RG22 4LB,70.8,0.95
RG24 9WH,83.8,1.06
RG21 7AU,74.3,1.01
RG24 9AX,67.2,0.86
RG28 7FW,84.1,1.18
RG22 4JB,72.1,0.93
RG22 4FJ,65.1,1.0
RG22 4AF,72.1,1.0
RG19 8BG,41.1,0.69
RG25 3JF,68.2,1.01
RG20 5PX,54.5,0.77
RG26 5WL,84.4,1.18
RG23 8DX,67.0,0.92
RG26 5EQ,81.9,1.08
RG20 5EZ,67.0,0.99
RG22 6BJ,72.4,1.01
RG22 4RW,65.4,0.98
RG22 5UJ,64.6,0.97
RG26 5AX,66.0,0.97
RG21 7AA,69.6,1.02
RG24 8AA,72.3,1.04
RG24 9EE,67.6,0.9
RG26 3TP,67.4,0.96
RG26 5NQ,59.6,0.96
RG21 5GX,68.0,0.99
RG22 4PB,64.4,0.95
RG24 9QU,85.0,1.13
RG22 5HE,55.3,0.81
RG21 5TU,68.5,0.86
RG24 8UE,65.7,0.97
RG26 3JE,58.0,0.79
RG22 4JR,67.8,0.92
RG24 9GG,80.5,1.03
RG22 4HY,69.7,0.91
RG25 3EW,65.8,0.93
RG24 7HJ,60.1,0.93
RG28 7AE,61.1,0.81
RG21 5UH,65.2,1.04
RG22 4JS,66.1,0.88
RG22 5LQ,63.5,0.89
RG22 4UA,67.7,1.0
RG26 4BZ,64.4,0.93
RG7 4QE,63.5,0.93
RG22 4QT,64.0,1.01
RG21 8AX,71.9,0.92
RG22 4YP,71.2,0.98
RG24 9GT,82.3,1.12
RG25 3NB,62.4,0.91
