sector,epc,hpr,lat,long
YO24 2,64.6,0.92,-1.1237845526315795,53.93859751973684
YO30 6,65.2,0.88,-1.093177953846154,53.97362607179485
YO24 3,67.6,0.95,-1.1303835945945946,53.94720442702703
YO31 7,66.2,0.86,-1.074153890625001,53.96511619791669
YO23 1,64.1,0.78,-1.0875319655172415,53.94840318719212
YO26 5,64.6,0.91,-1.1313869390243905,53.96013865040653
YO30 7,61.8,0.74,-1.088564220588235,53.96591329411763
YO26 4,66.0,0.84,-1.1099588226950352,53.96067841843974
YO30 5,64.9,0.94,-1.1095993817204306,53.98184184946235
YO10 3,67.1,0.91,-1.0513403085106388,53.955851539007085
YO23 3,62.4,0.93,-1.1552856825396816,53.923067941798976
YO32 2,63.8,0.92,-1.0853160805369124,54.017308684563744
YO24 4,63.8,0.83,-1.1102937817258876,53.9530530609137
YO19 6,59.9,0.93,-1.0303839260700398,53.8654452840467
YO31 0,65.8,0.91,-1.053408273224043,53.96384722950821
YO31 8,62.8,0.79,-1.075665333333333,53.97088015503879
YO31 9,65.6,0.93,-1.0651991447368423,53.98064264473685
YO10 4,63.3,0.84,-1.0731732211055272,53.94430833165827
YO23 2,61.4,0.9,-1.103087548672567,53.91333658407081
YO1 7,70.5,0.96,-1.0802472000000003,53.96110855789473
YO19 5,63.0,0.92,-0.9868321666666666,53.965868753086376
YO10 5,63.5,0.84,-1.0480037484662574,53.94864699999998
YO1 9,67.9,0.89,-1.0780912936507936,53.956912492063495
YO41 4,61.4,0.93,-0.9354510714285712,53.923349690476186
YO24 1,65.6,0.88,-1.1038753006134974,53.9429325828221
YO31 1,61.3,0.87,-1.05206194117647,53.97056363865549
YO32 9,64.3,0.94,-1.046327519823789,53.99471141409689
YO32 5,65.2,0.96,-1.035886988505747,54.03792653448277
YO32 3,63.8,0.91,-1.072228617647059,54.01413129411766
YO32 4,67.9,0.94,-1.0736692253521125,53.99164154929577
YO1 6,66.3,0.85,-1.0867238736842106,53.956497010526334
YO19 4,66.5,0.98,-1.068876777777778,53.91927392063492
YO30 1,64.5,0.93,-1.1525795308641975,54.01356860493824
YO26 8,62.2,0.97,-1.2798412109374993,54.00103953906254
YO30 4,66.6,1.0,-1.1015792758620684,53.987164229885046
YO26 6,63.6,0.92,-1.1444739137055826,53.978279548223405
YO1 8,60.1,0.83,-1.0820620312500002,53.95977323437499
YO41 5,56.8,0.9,-0.8749747567567566,53.95496614414415
YO41 1,55.9,0.86,-0.8998766224066392,53.9942505186722
YO19 7,77.3,1.14,nan,nan
YO11 5,55.0,0.74,nan,nan
YO31 3,84.0,1.18,nan,nan
YO26 7,83.9,1.18,-1.27121275257732,53.95863051546392
YO60 7,14.0,0.63,-0.9058462814371252,54.07844489221554
YO10 6,59.0,0.68,nan,nan
YO31 5,63.0,0.95,nan,nan
