outcode,epc,hpr,lat,long
WF14,64.8,0.91,53.6797839,-1.6960552
WF16,62.1,0.87,53.7102031,-1.6692768
WF13,62.6,0.85,53.6923035,-1.6467249
WF15,64.1,0.9,53.7082837,-1.700436
WF17,62.3,0.85,53.7188923,-1.6426028
HD2,61.6,0.84,53.668833,-1.7767268
BD19,64.7,0.89,53.7273298,-1.7141196
HD9,63.2,0.87,53.5804475,-1.7973107
HD4,60.6,0.82,53.6256253,-1.797853
WF12,63.1,0.87,53.6833333,-1.6199223
HD5,61.9,0.85,53.6474167,-1.7462168
HD8,63.2,0.9,53.5995424,-1.6750146
HD7,61.2,0.82,53.6239529,-1.8779019
HD3,64.0,0.86,53.6536196,-1.8320544
HD1,59.7,0.75,53.6468691,-1.788934
BD11,65.4,0.91,53.752252,-1.6757083
WF5,59.9,0.9,53.6804698,-1.5764287
BD4,62.6,0.88,53.7763907,-1.7186609
BD12,60.4,0.84,53.7456818,-1.7626592
WF4,65.0,0.92,53.6466346,-1.5193831
HD6,58.7,0.84,53.7024215,-1.7843814
BD10,81.5,1.1,53.8329365,-1.7248454
HX4,25.2,0.6,53.6770659,-1.8826642
WF11,81.5,1.12,53.7117458,-1.2561796
HX8,79.0,1.11,nan,nan
