outcode,epc,hpr,lat,long
PO33,61.4,0.85,50.7216598,-1.1700685
PO38,57.3,0.83,50.6053631,-1.2432132
PO31,62.1,0.85,50.7554074,-1.3073561
PO32,67.6,0.93,50.7511908,-1.2810514
PO37,62.3,0.87,50.6314255,-1.1796299
PO40,63.6,0.9,50.6824755,-1.5218166
PO30,63.5,0.9,50.6911019,-1.31348
PO36,63.4,0.88,50.6585816,-1.163679
PO35,62.6,0.89,50.6868571,-1.0855937
PO39,63.1,0.9,50.6803617,-1.5401345
PO41,58.2,0.86,50.7009701,-1.4750973
PO34,56.0,0.83,50.7159013,-1.1134555
SE1,84.0,0.97,51.4991997,-0.0916245
