outcode,epc,hpr,lat,long
HP9,65.0,0.89,51.6103131,-0.6407522
SL1,62.7,0.86,51.5178471,-0.6222163
SL0,62.3,0.85,51.5259965,-0.5171775
SL6,65.1,0.88,51.5239786,-0.7292167
SL9,62.8,0.87,51.5978678,-0.5557695
SL3,59.4,0.84,51.4987413,-0.5516413
SL2,63.9,0.89,51.5356977,-0.6058076
UB9,65.5,0.88,51.5862858,-0.4926586
SL4,68.4,0.94,51.4752709,-0.6274221
HP10,38.6,0.7,51.6083649,-0.6974711
UB7,47.2,0.63,51.5044432,-0.4691618
HP7,51.0,0.69,51.6644833,-0.6102425
HP19,64.0,0.98,51.8236624,-0.8280878
