district,epc,hpr
TS6,65.1,0.92
TS12,60.6,0.84
TS10,63.6,0.89
TS14,64.4,0.9
TS13,58.7,0.81
TS11,61.7,0.87
TS7,63.3,0.89
TS9,46.4,0.83
TS3,64.0,0.96
