outcode,epc,hpr,lat,long
NP22,64.8,0.86,51.7712366,-3.2581432
CF83,64.7,0.87,51.5867146,-3.2188145
NP24,59.1,0.73,51.7189914,-3.2385423
NP11,62.7,0.82,51.6438627,-3.1315958
CF82,64.3,0.87,51.6509975,-3.2379255
NP12,63.5,0.86,51.6691612,-3.1979409
CF81,62.2,0.8,51.7017292,-3.2446317
CF46,62.0,0.85,51.6647879,-3.300659
NP13,39.1,0.7,51.7353588,-3.1414332
CF48,30.0,0.46,51.7415755,-3.3715116
CF3,52.7,0.9,51.5203429,-3.1110728
NP10,54.8,0.85,51.5780227,-3.0477786
CF37,39.2,0.73,51.6033134,-3.3343249
CF15,49.8,0.75,51.5333849,-3.271715
CF14,46.2,0.82,51.5198959,-3.2042721
