district,epc,hpr
NP22,64.8,0.86
CF83,64.7,0.87
NP24,59.1,0.73
NP11,62.7,0.82
CF82,64.3,0.87
NP12,63.5,0.86
CF81,62.2,0.8
CF46,62.0,0.85
NP13,39.1,0.7
CF48,30.0,0.46
CF3,52.7,0.9
NP10,54.8,0.85
CF37,39.2,0.73
CF15,49.8,0.75
CF14,46.2,0.82
