outcode,epc,hpr,lat,long
BD9,56.1,0.7,53.8128852,-1.7924051
BD12,60.8,0.83,53.7456818,-1.7626592
BD8,56.8,0.7,53.8017321,-1.7839736
BD20,60.9,0.84,53.8982751,-1.9501915
BD4,61.9,0.83,53.7763907,-1.7186609
BD2,60.3,0.81,53.8152428,-1.7344633
BD1,64.9,0.88,53.7966616,-1.7545344
BD18,59.2,0.78,53.8304494,-1.7768469
LS29,63.0,0.86,53.9189109,-1.800672
BD3,56.0,0.68,53.7984863,-1.7267147
BD21,55.4,0.7,53.864231,-1.9076629
BD7,55.8,0.68,53.783468,-1.7857283
BD13,62.7,0.84,53.7867466,-1.8612838
BD5,57.7,0.73,53.7781758,-1.7591405
BD17,63.2,0.88,53.8475875,-1.768364
BD16,63.4,0.86,53.8484508,-1.8331337
BD14,61.9,0.83,53.7821908,-1.8183815
BD22,61.4,0.82,53.8457607,-1.9553752
BD6,62.7,0.87,53.7645222,-1.7861654
BD10,66.3,0.91,53.8329365,-1.7248454
BD15,62.6,0.86,53.8100727,-1.8383321
BD11,56.3,0.77,53.752252,-1.6757083
LS19,55.9,0.77,53.859728,-1.6839678
HX3,58.3,0.66,53.7267217,-1.844259
LS21,31.5,0.72,53.9116086,-1.6804367
