postcode,epc,hpr
SA10 7LF,62.5,0.96
SA12 7TT,58.1,0.86
SA10 6EE,81.0,1.14
SA12 8YH,58.5,0.91
SA10 6RD,57.6,0.68
SA13 2HU,61.5,0.9
SA8 4NS,65.9,0.98
SA13 2DE,53.8,0.73
SA11 3BJ,56.2,0.92
SA12 6EB,50.5,0.66
SA9 2ES,62.1,0.89
SA8 4AS,43.2,0.77
SA12 6LJ,66.2,0.94
SA9 2AR,53.0,0.81
SA11 2AJ,57.6,0.7
SA13 2LE,58.0,0.86
SA11 3AD,49.7,0.59
SA9 2BG,80.4,1.12
SA12 7PH,65.5,0.95
SA13 3TE,52.9,0.68
SA10 8TE,66.6,0.87
SA11 1HE,50.2,0.64
SA12 6PG,59.7,0.83
SA10 8PD,61.2,0.91
SA12 7BH,69.4,0.93
SA13 2DL,55.5,0.83
SA12 6YS,67.7,0.88
SA11 5RX,68.4,0.95
SA12 7NW,64.8,0.92
SA8 3AW,62.0,1.01
SA13 2LG,61.6,0.92
SA10 9EY,58.6,0.91
SA10 6ES,83.6,1.18
SA9 2RH,37.1,0.68
SA10 6DG,68.5,1.01
SA11 2HE,55.1,0.72
SA11 5RN,61.9,0.91
SA12 8BA,60.8,0.92
SA11 3SU,65.6,0.92
SA11 1AF,54.9,0.69
SA13 3HB,56.1,0.85
SA11 2DP,74.7,0.98
SA12 8PY,65.9,1.01
SA12 8YL,69.4,1.01
SA12 6NX,63.0,0.86
SA10 9DP,55.7,0.81
SA12 6AE,64.8,0.95
SA10 7SP,66.0,0.94
SA10 8NY,57.5,0.74
SA10 6RH,58.4,0.73
SA10 6AQ,65.1,0.95
SA13 2LJ,80.7,1.11
SA10 7NS,52.2,0.57
SA12 6AT,60.0,0.78
SA13 2BN,51.9,0.76
SA10 6JJ,53.2,0.66
SA12 7HB,67.6,1.01
SA11 1UR,63.7,0.9
SA12 7NB,60.9,0.88
SA8 4AA,70.8,0.88
SA12 8DL,60.3,0.85
SA12 9LR,63.6,0.88
SA12 7TW,65.1,0.93
SA12 8DD,58.2,0.85
SA10 9HR,59.1,0.91
SA18 1HL,63.8,0.93
SA13 2SZ,69.4,1.02
SA13 3YP,63.6,0.8
SA12 8BT,51.1,0.83
SA12 6JS,71.4,0.91
SA11 4BU,72.8,0.98
SA11 3HR,61.7,0.86
SA12 9LL,64.8,0.91
SA11 1JJ,65.2,0.92
SA11 1EH,80.2,1.03
SA11 2EP,53.9,0.76
SA11 1JW,64.3,0.94
SA9 2JB,60.7,0.64
SA10 6TW,56.6,0.81
SA11 4HU,58.1,0.7
SA11 3EX,56.3,0.74
SA12 6QN,76.6,1.02
SA13 3RH,65.7,0.89
SA13 2PP,66.3,0.77
SA9 2BQ,80.2,1.1
SA11 3NT,58.6,0.86
SA10 8LN,70.9,0.96
SA11 1PH,60.3,0.77
SA13 1YU,56.3,0.7
SA12 6NL,67.7,0.98
SA10 6YW,63.5,0.92
SA8 4LX,64.9,0.95
SA9 2FL,33.4,0.66
SA10 7AF,73.8,0.99
SA8 3HE,67.2,0.93
SA9 2NZ,50.7,0.69
SA11 3RH,63.1,0.89
SA10 8PS,58.4,0.86
SA10 7HU,67.2,0.97
SA11 5BA,55.2,0.82
SA11 3EF,68.3,0.93
SA13 1HB,55.3,0.67
SA12 7RU,59.5,0.95
SA11 5EE,61.1,0.9
SA12 6TA,62.9,0.86
SA11 2YU,50.0,0.67
SA12 7HR,64.8,0.92
SA12 7HF,68.5,1.01
SA12 9SD,58.9,0.83
SA18 1TG,44.5,0.72
SA12 9NY,67.8,0.89
SA13 3PP,65.0,0.92
SA11 1HY,54.9,0.7
SA11 3EE,67.8,0.91
SA10 6JH,62.9,0.91
SA11 3RN,63.3,0.89
SA11 3RB,62.9,0.9
SA12 7ET,68.1,0.95
SA11 1TX,73.3,0.97
SA13 1ST,45.4,0.6
SA11 2SR,50.7,0.68
SA12 7TX,71.6,1.01
SA11 1UT,61.7,0.9
SA18 1YE,51.2,0.75
SA11 5RF,67.6,0.95
SA11 2UP,70.7,0.96
SA11 4NR,67.1,0.93
SA12 6UD,62.2,0.81
SA12 6BW,63.2,0.97
SA11 3UF,62.0,0.97
SA12 8LY,59.1,0.87
SA8 3DH,85.2,1.18
SA11 2LN,59.9,0.76
SA12 6AJ,52.1,0.7
SA11 2LG,62.8,0.98
SA12 6QL,87.2,1.1
SA11 2HR,73.0,1.04
SA12 7HH,66.7,0.95
SA18 1HA,40.3,0.68
SA18 1UG,44.5,0.72
SA12 9TF,47.4,0.65
SA10 7SH,63.1,0.89
SA11 3QF,66.0,0.95
SA12 9AQ,74.2,0.99
SA11 2AQ,50.2,0.69
SA11 2BW,62.4,0.95
SA12 6RP,64.0,0.91
SA10 6NS,74.7,1.03
SA10 7QX,72.8,1.02
SA13 2RL,64.3,0.87
SA18 1YB,63.5,1.0
SA8 4LQ,41.5,0.6
SA11 2UH,63.4,0.96
SA18 1RA,68.5,1.01
SA8 4LY,65.8,0.93
SA12 6EW,52.9,0.66
SA11 2BH,63.8,0.91
SA12 6TN,68.1,0.97
SA9 2RL,26.0,0.69
SA11 4AA,45.8,0.61
SA11 2LD,61.4,0.91
SA10 6TA,38.5,0.88
SA12 8HN,49.7,0.59
SA12 7TN,65.5,0.93
SA10 9ER,61.4,0.88
SA13 2TZ,69.1,1.0
SA12 9RR,55.0,0.7
SA12 6LA,74.6,1.01
SA11 2BR,62.6,0.87
SA11 2HU,62.4,0.86
SA11 2AF,68.9,0.99
SA12 6UH,63.6,0.92
SA11 2SY,51.0,0.69
