outcode,epc,hpr,lat,long
WR6,52.6,0.87,52.2298799,-2.3821575
WR14,64.7,0.88,52.1144453,-2.3204072
WR8,56.4,0.86,52.074811,-2.2066668
WR15,55.9,0.86,52.3054003,-2.5688982
WR5,69.8,0.98,52.1748639,-2.2020856
WR2,62.8,0.91,52.1883104,-2.2484883
DY14,48.3,0.82,52.3804492,-2.4685572
WR13,57.1,0.89,52.0930845,-2.3428588
GL20,52.3,0.86,52.0022332,-2.132268
GL19,50.2,0.83,51.9461577,-2.2909682
DY13,53.0,0.87,52.3367283,-2.2813551
HR7,45.0,0.83,52.1855201,-2.5236492
HR8,45.9,0.74,52.0447156,-2.4453658
DY12,45.0,0.76,52.3864341,-2.3329518
HR6,72.1,1.1,52.2333219,-2.7731407
SY8,46.2,0.87,52.3650723,-2.6953443
