district,epc,hpr
TR17,49.3,0.82
PL15,58.4,0.9
PL14,59.0,0.89
TR13,57.4,0.88
TR7,66.0,0.91
TR8,59.7,0.95
PL31,66.1,0.95
TR12,48.7,0.84
PL18,57.7,0.88
TR16,53.8,0.88
TR1,65.7,0.92
TR15,63.8,0.91
PL30,49.6,0.85
PL28,59.0,0.9
TR9,60.2,0.93
TR19,45.8,0.79
TR11,60.3,0.87
EX23,59.0,0.9
TR5,52.9,0.89
TR27,58.8,0.9
PL10,46.2,0.8
TR14,60.7,0.89
PL26,52.8,0.88
EX22,61.5,0.97
PL12,60.2,0.88
TR18,57.3,0.79
TR26,60.6,0.85
PL27,59.5,0.9
PL11,58.4,0.87
TR3,57.2,0.9
TR2,54.5,0.88
PL13,52.9,0.82
TR6,55.2,0.9
TR20,49.4,0.83
PL34,49.4,0.84
PL25,64.1,0.93
TR10,62.0,0.89
TR4,54.0,0.91
PL17,57.0,0.89
PL35,47.3,0.81
PL29,47.2,0.78
PL24,60.1,0.88
PL32,54.6,0.91
PL22,55.8,0.83
PL23,54.9,0.82
PL33,51.9,0.87
