postcode,epc,hpr
CO4 6AW,83.6,1.13
CO3 0RS,77.3,0.98
CO3 3SZ,61.7,0.84
CO7 9EZ,48.6,0.77
CO7 6ES,63.6,0.92
CO4 3PX,77.0,0.97
CO4 9UF,65.3,0.95
CO4 5WL,70.2,1.02
CO6 3HY,71.1,0.93
CO2 9AJ,67.9,0.94
CO4 9SE,61.8,0.93
CO6 4AR,49.1,0.88
CO3 9AZ,72.6,0.98
CO6 1AB,55.9,0.9
CO1 2SN,57.4,0.77
CO2 8BX,67.5,0.94
CO4 0DF,69.4,0.95
CO2 7EW,58.7,0.72
CO3 0FT,65.5,0.96
CO6 3RL,48.7,0.87
CO6 1FP,87.9,1.16
CO3 0PG,73.3,1.01
CO3 9AN,61.4,0.94
CO2 0BH,73.9,0.97
CO7 6BW,51.1,0.82
CO2 8SD,66.1,0.9
CO4 5RY,79.6,1.06
CO6 1BU,54.1,0.85
CO4 6EB,75.5,1.02
CO5 0FR,84.1,1.18
CO2 7LG,57.6,0.72
CO2 7GJ,83.8,1.18
CO2 9LT,67.9,0.91
CO7 9GT,81.7,1.06
CO1 2AH,58.4,0.74
CO7 9PG,64.4,0.93
CO2 7HQ,82.5,1.17
CO2 8GE,71.3,1.01
CO1 1UZ,49.2,0.61
CO5 8EB,61.1,0.93
CO1 1SQ,54.5,0.69
CO2 9RF,64.4,0.75
CO1 1QW,67.8,0.98
CO7 9RY,58.7,0.92
CO2 8DR,71.8,0.96
CO3 3LG,74.8,1.01
CO5 8TQ,59.8,0.95
CO5 9UA,45.3,0.81
CO4 5NY,61.2,0.99
CO4 5TY,80.9,1.04
CO2 9HH,71.3,0.9
CO2 8BU,64.0,0.95
CO4 6AD,82.4,1.17
CM9 8HG,32.6,0.69
CO4 3XY,76.8,0.97
CO5 0AA,58.6,0.92
CO4 9UN,61.1,0.93
CO1 1AG,72.8,1.0
CO4 5ZN,77.1,1.06
CO1 1QJ,80.4,1.15
CO2 9DU,72.2,0.97
CO2 9QF,67.5,0.96
CO4 5AS,58.0,0.8
CO4 5BN,68.0,1.02
CO1 2ER,66.8,0.94
CO3 3DZ,53.9,0.71
CO2 0BW,55.0,0.98
CO3 9AE,52.6,0.7
CO4 3YH,77.1,0.98
CO2 8YR,77.1,1.05
CO4 5JF,63.3,0.8
CO7 6EP,55.5,0.61
CO3 3AQ,53.3,0.64
CO2 7SD,58.5,0.7
CO2 7GR,83.6,1.17
CO3 3AU,69.8,0.93
CO6 1XT,70.6,0.95
CO3 3LJ,73.5,1.01
CO5 0UB,54.3,0.85
CO4 6AH,82.8,1.18
CO7 9GW,73.4,1.05
CO2 7HT,65.6,0.92
CO5 0DA,62.2,0.95
CO4 3XU,72.1,0.93
CO3 4TD,61.4,0.97
CO4 0DJ,73.4,0.97
CO1 2FP,81.8,1.12
CO2 8WL,74.3,1.03
CO3 8BG,84.5,1.18
CO4 9RB,62.2,0.94
CO2 0PN,61.4,0.95
CO3 9XE,62.5,0.89
CO2 8JT,70.8,1.0
CO3 3NY,76.8,1.0
CO1 1ZP,66.0,0.94
CO7 9PB,63.9,0.88
CO2 9ND,67.5,0.96
CO2 7FH,82.7,1.17
CO3 8WU,71.5,1.02
CO6 3NQ,65.0,0.83
CO2 8EE,67.6,0.89
CO2 7PB,73.7,0.87
CO4 5AA,51.5,0.73
CO1 2XT,68.2,0.97
CO6 3NP,56.3,0.85
CO4 0NE,65.9,0.87
CO4 9TX,67.7,0.96
CO2 8QT,71.6,0.95
CO4 5JG,82.3,1.14
CO3 4EN,63.8,0.95
CO4 3NQ,75.0,0.94
CO1 1UX,54.4,0.79
CO2 8HQ,75.8,1.02
CO3 9DN,62.0,0.79
CO2 7UP,81.3,1.02
CO2 7QB,69.3,0.94
CO5 8LN,55.3,0.72
CO2 8NT,66.7,0.96
CO3 8WR,74.7,1.03
CO2 9RP,63.3,0.97
CO4 3QB,73.2,0.96
CO4 6BZ,84.2,1.18
CO2 7BJ,60.0,0.76
CO1 1TP,67.9,0.87
CO4 3PY,76.0,0.94
CO4 5WS,68.0,1.0
CO2 8UU,63.3,0.92
CO1 1DA,66.0,0.91
CO4 0YW,70.3,1.01
CO1 1PE,79.9,1.06
CO6 3JS,61.4,0.81
CO1 2LU,57.1,0.74
CO5 8DB,59.2,0.84
CO3 9TJ,54.2,0.81
CO3 9ER,60.4,0.9
CO2 7PG,62.8,0.89
CO6 3EY,71.3,0.98
CO7 9SB,63.0,0.91
CO2 9JR,60.8,0.86
CO3 0BE,82.7,1.18
CO3 9FE,81.7,1.01
CO2 7RY,57.3,0.74
CO7 9HX,54.7,0.78
CO3 3DU,51.0,0.73
CO2 9BQ,65.7,0.89
CO2 8HU,74.1,1.02
CO4 3LY,73.1,0.96
CO4 5AJ,57.6,0.78
CO6 3JT,68.8,1.02
CO2 7QJ,79.7,1.03
CO4 5YW,85.2,1.09
