outcode,epc,hpr,lat,long
TA6,66.5,0.93,51.1256664,-3.0008114
TA7,55.9,0.9,51.131561,-2.910703
TA8,62.6,0.9,51.2451467,-2.9950311
BS25,55.0,0.84,51.3199339,-2.820467
TA9,65.3,0.94,51.2255918,-2.9567138
BS26,56.6,0.86,51.2788645,-2.8569371
BS28,58.3,0.88,51.2260512,-2.8149367
BS27,64.3,0.92,51.272182,-2.7717346
TA5,64.0,0.95,51.1428039,-3.094884
BA5,52.4,0.83,51.212571,-2.6552733
BS24,56.0,0.86,51.3303607,-2.9292938
BS40,62.2,0.9,51.346529,-2.6919383
TA2,50.7,0.8,51.0340308,-3.1010171
TA3,48.0,0.8,50.9936898,-3.037039
BA27,84.0,1.18,nan,nan
BA6,48.3,0.83,51.1420762,-2.7078987
CW1,77.0,1.15,53.1036281,-2.4360889
