sector,epc,hpr,lat,long
RH19 3,65.3,0.9,0.0063537523809523,51.127403777777765
RH17 6,60.8,0.86,-0.1428575854700854,51.05286663675214
RH15 0,69.8,0.96,-0.1167551510574019,50.95628504229609
RH16 4,71.4,0.97,-0.1067820332326283,50.99132201510572
RH16 1,65.2,0.9,-0.106369831111111,51.00793222666663
BN6 8,63.3,0.88,-0.1294541380597014,50.924971499999984
BN6 9,69.4,0.92,-0.1784940854430378,50.93656878164558
RH19 2,64.3,0.9,-0.0284801440677966,51.14017074152543
RH10 4,65.6,0.92,-0.0829099216589862,51.11743783410138
RH16 2,66.5,0.92,-0.0814958468085106,51.00990328085104
RH10 3,72.3,1.01,-0.1356596086956521,51.13384860869564
RH16 3,67.7,0.92,-0.0937361354581673,50.99938530278886
RH19 4,61.5,0.88,-0.0211170119047619,51.10684358730158
RH17 5,60.5,0.89,-0.1667182988047809,51.00483944223107
RH15 8,65.1,0.9,-0.1355799770992366,50.96255384732829
RH17 7,64.4,0.95,-0.0418590090090089,51.00966891891889
RH11 9,74.3,1.03,-0.2036927349823322,51.09327225441698
RH19 1,66.1,0.9,-0.0223187191489361,51.12872245106387
RH15 9,68.0,0.94,-0.1433560565217391,50.95418383913047
BN45 7,51.3,0.82,-0.1904762857142857,50.89663988095239
BN5 9,46.5,0.82,-0.2690527758007119,50.92776546263345
RH19 5,65.4,1.04,nan,nan
RH13 6,54.4,0.87,-0.2919125041666665,51.05159845416667
BN8 4,47.4,0.78,-0.0071249217391304,50.95607843478262
BN6 3,83.0,1.12,nan,nan
RH17 4,88.0,1.15,nan,nan
RH10 5,58.6,0.83,-0.1816189782608696,51.10086888405796
BN1 8,46.0,0.58,-0.1411455703125,50.86203583203128
