outcode,epc,hpr,lat,long
LA9,63.7,0.89,54.3254145,-2.743368
LA8,55.0,0.85,54.3238097,-2.7619094
LA23,58.2,0.82,54.3713964,-2.9129454
LA21,56.1,0.83,54.3628108,-3.0785695
LA7,57.1,0.85,54.2257341,-2.7730264
LA12,57.4,0.83,54.2031951,-3.0836203
LA22,54.4,0.78,54.4229898,-2.9912561
LA6,60.5,0.87,54.1754174,-2.6103862
LA17,51.7,0.78,54.2395573,-3.1758678
LA11,57.8,0.84,54.199939,-2.9260474
LA10,53.3,0.78,54.3138033,-2.4939771
LA5,59.0,0.84,54.1438808,-2.7918796
LA20,50.8,0.76,54.2942675,-3.2062137
LA13,40.8,0.77,54.1182576,-3.1983726
LA15,44.1,0.77,54.1558463,-3.1796666
CA17,40.0,0.77,54.4800608,-2.3509231
